Review #,Token,BIO Tag (For Explicit Aspects),Aspect Tag (For Explicit Aspects),Final Tag (For Explicit Aspects),"General Aspect, Specific Aspect Category (For Explicit Aspects)",Aspect Tag (For Implicit Aspects),Final Tag (For Implicit Aspects),"General Aspect, Specific Aspect Category (For Implicit Aspects)"
3,t,O,,O - ,,SER#HAND,SER#HAND,"Service, Handling"
3,▁yung,O,,O - ,,,,
3,▁gusto,O,,O - ,,,,
3,▁nyo,O,,O - ,,,,
3,.,O,,O - ,,,,
3,▁ke,O,,O - ,,,,
3,langan,O,,O - ,,,,
3,▁ko,O,,O - ,,,,
3,▁po,O,,O - ,,,,
3,▁yung,O,,O - ,,,,
3,▁2,B,PRO#SIZE,B - PRO#SIZE,"Product, Size / Measurement",,,
3,l,I,PRO#SIZE,I - PRO#SIZE,"Product, Size / Measurement",,,
3,▁kahit,O,,O - ,,,,
3,▁anong,O,,O - ,,,,
3,▁color,B,PRO#COL,B - PRO#COL,"Product, Color",,,
3,▁n,O,,O - ,,,,
3,▁l,O,,O - ,,,,
3,ng,O,,O - ,,,,
3,▁po,O,,O - ,,,,
3,▁sana,O,,O - ,,,,
3,.,O,,O - ,,,,
3,▁,O,,O - ,,,,
3,.,O,,O - ,,,,
3,▁,O,,O - ,,,,
3,.,O,,O - ,,,,
3,▁return,O,,O - ,,,,
3,?,O,,O - ,,,,
3,▁i,O,,O - ,,,,
3,▁think,O,,O - ,,,,
3,▁di,O,,O - ,,DEL#TIME,DEL#TIME,"Delivery, Timeliness"
3,▁na,O,,O - ,,DEL#TIME,DEL#TIME,"Delivery, Timeliness"
3,▁a,O,,O - ,,DEL#TIME,DEL#TIME,"Delivery, Timeliness"
3,abot,O,,O - ,,DEL#TIME,DEL#TIME,"Delivery, Timeliness"
3,▁sa,O,,O - ,,DEL#TIME,DEL#TIME,"Delivery, Timeliness"
3,▁satur,O,,O - ,,DEL#TIME,DEL#TIME,"Delivery, Timeliness"
3,day,O,,O - ,,DEL#TIME,DEL#TIME,"Delivery, Timeliness"
3,.,O,,O - ,,,,
3,▁hay,O,,O - ,,,,
3,▁na,O,,O - ,,,,
3,ku,O,,O - ,,,,
3,!,O,,O - ,,,,
3,▁t,O,,O - ,,,,
3,sk,O,,O - ,,,,
3,.,O,,O - ,,,,
