Review,Explicit,Implicit
sabe q ky seller mga mahaba ang ipadala nya pagdating sakin isa ang mahaba kulay biege lang panu pa masusuot ng omorder skin e ang iiksi,"sabe - O - , q - O - , ky - O - , seller - O - , mga - O - , mahaba - O - , ang - O - , ipadala - O - , nya - O - , pagdating - O - , sakin - O - , isa - O - , ang - O - , mahaba - O - , kulay - O - , biege - O - , lang - O - , panu - O - , pa - O - , masusuot - O - , ng - O - , omorder - O - , skin - O - , e - O - , ang - O - , iiksi - O - ","sabe q ky seller mga mahaba ang ipadala nya pagdating sakin isa ang mahaba - DEL#CORR, panu pa masusuot ng omorder skin e ang iiksi - PRO#SIZE"
"close to ok lang i contacted the seller and they admitted that they intentionaly sent the wrong color without informing me. the problem is i ordered it as gift for a man, so purple is not really ok! and both bottles have scratches doesnt look new for me. ","close - O - , to - O - , ok - O - , lang - O - , i - B - SER#TRU, contacted - I - SER#TRU, the - I - SER#TRU, seller - I - SER#TRU, and - I - SER#TRU, they - I - SER#TRU, admitted - I - SER#TRU, that - I - SER#TRU, they - I - SER#TRU, intentionaly - I - SER#TRU, sent - I - SER#TRU, the - I - SER#TRU, wrong - I - SER#TRU, color - I - SER#TRU, without - I - SER#TRU, informing - I - SER#TRU, me - I - SER#TRU, the - O - , problem - O - , is - O - , i - O - , ordered - O - , it - O - , as - O - , gift - O - , for - O - , a - O - , man - O - , so - O - , purple - O - , is - O - , not - O - , really - O - , ok - O - , and - O - , both - B - PRO#COND, bottles - I - PRO#COND, have - I - PRO#COND, scratches - I - PRO#COND, doesnt - O - , look - O - , new - O - , for - O - , me - O - ","i ordered it as gift for a man so purple is not really ok - DEL#CORR, doesnt look new for me - PRO#GEN"
"not good sana nman ung ok ipadeliver nyo,","not - O - , good - O - , sana - O - , nman - O - , ung - O - , ok - O - , ipadeliver - O - , nyo - O - ",
ang pangit ng item sorry ahhh n ung size kala mo pang bata,"ang - B - PRO#GEN, pangit - I - PRO#GEN, ng - I - PRO#GEN, item - I - PRO#GEN, sorry - O - , ahhh - O - , n - O - , ung - O - , size - O - , kala - O - , mo - O - , pang - O - , bata - O - ",ung size kala mo pang bata - PRO#SIZE
5 mystery box binili ko pero 5 din na magkapareho na mystery box. anong mystery jan. bumili paman din ako ng 5 para ma surprise ako. na surprise nga kasi magkaka pareho umay. wala man lang mouse o keyboard.,"5 - B - PRO#CORR, mystery - I - PRO#CORR, box - I - PRO#CORR, binili - I - PRO#CORR, ko - I - PRO#CORR, pero - I - PRO#CORR, 5 - I - PRO#CORR, din - I - PRO#CORR, na - I - PRO#CORR, magkapareho - I - PRO#CORR, na - I - PRO#CORR, mystery - I - PRO#CORR, box - I - PRO#CORR, anong - O - , mystery - O - , jan - O - , bumili - O - , paman - O - , din - O - , ako - O - , ng - O - , 5 - O - , para - O - , ma - O - , surprise - O - , ako - O - , na - O - , surprise - O - , nga - O - , kasi - O - , magkaka - O - , pareho - O - , umay - O - , wala - B - DEL#CORR, man - I - DEL#CORR, lang - I - DEL#CORR, mouse - I - DEL#CORR, o - I - DEL#CORR, keyboard - I - DEL#CORR",
"0/10 d maganda yung product matqgal matuyo, kumakalat sa mata, hindi water proof.","010 - B - PRO#GEN, d - I - PRO#GEN, maganda - I - PRO#GEN, yung - I - PRO#GEN, product - I - PRO#GEN, matqgal - O - , matuyo - O - , kumakalat - O - , sa - O - , mata - O - , hindi - O - , water - O - , proof - O - ","matqgal matuyo kumakalat sa mata - PRO#EFF, hindi water proof - PRO#FUNC"
"good quality product ok naman ung order mabilis dumating, well pack din kaso orde ko lima tapos isa lang ang dumating ok lang kasi nakarefund ako try ko ulit umorder sa kanila baka kasi nalito lang si seller at magpapasko madaming order . ","good - B - PRO#GEN, quality - I - PRO#GEN, product - I - PRO#GEN, ok - O - , naman - O - , ung - B - DEL#TIME, order - I - DEL#TIME, mabilis - I - DEL#TIME, dumating - I - DEL#TIME, well - I - DEL#TIME, pack - I - DEL#TIME, din - O - , kaso - O - , orde - O - , ko - O - , lima - O - , tapos - O - , isa - O - , lang - O - , ang - O - , dumating - O - , ok - O - , lang - O - , kasi - O - , nakarefund - O - , ako - O - , try - O - , ko - O - , ulit - O - , umorder - O - , sa - O - , kanila - O - , baka - O - , kasi - O - , nalito - B - SER#GEN, lang - I - SER#GEN, si - I - SER#GEN, seller - I - SER#GEN, at - O - , magpapasko - O - , madaming - O - , order - O - ","well pack - SER#HAND, orde ko lima tapos isa lang ang dumating - DEL#CORR, nakarefund ako - SER#RES"
sigundo ko lng sya nagamit bago yung battery nilagay ko pero pahinto hinto syahindi na ako bibilin ng ganyan much better nag ahit nalang sana ulit ako,"sigundo - B - PRO#DUR, ko - I - PRO#DUR, lng - I - PRO#DUR, sya - I - PRO#DUR, nagamit - I - PRO#DUR, bago - B - PRO#FUNC, yung - I - PRO#FUNC, battery - I - PRO#FUNC, nilagay - I - PRO#FUNC, ko - I - PRO#FUNC, pero - I - PRO#FUNC, pahinto - I - PRO#FUNC, hinto - I - PRO#FUNC, syahindi - O - , na - O - , ako - O - , bibilin - O - , ng - O - , ganyan - O - , much - O - , better - O - , nag - O - , ahit - O - , nalang - O - , sana - O - , ulit - O - , ako - O - ",
madikit naman kaso di pantay pantay yung cut di pantay pantay yung cut sa 1st 2 lines di pantay yun yung galing sa shop na to while sa 3rd lines sa ibang shopping app ko na binili di pantay pantay yung cut,"madikit - O - , naman - O - , kaso - O - , di - O - , pantay - O - , pantay - O - , yung - O - , cut - O - , di - O - , pantay - O - , pantay - O - , yung - O - , cut - O - , sa - O - , 1st - O - , 2 - O - , lines - O - , di - O - , pantay - O - , yun - O - , yung - O - , galing - O - , sa - O - , shop - O - , na - O - , to - O - , while - O - , sa - O - , 3rd - O - , lines - O - , sa - O - , ibang - O - , shopping - O - , app - O - , ko - O - , na - O - , binili - O - , di - O - , pantay - O - , pantay - O - , yung - O - , cut - O - ","madikit - PRO#EFF, di pantay pantay yung cut di pantay pantay yung cut - PRO#CORR"
mali po ata yung na bigay ni seller we're expecting na ma received yung parang gradient na water bottle pero iba po yung na received namin but okay lang anjan na yan eh.,"mali - B - SER#HAND, po - I - SER#HAND, ata - I - SER#HAND, yung - I - SER#HAND, na - I - SER#HAND, bigay - I - SER#HAND, ni - I - SER#HAND, seller - I - SER#HAND, were - B - DEL#CORR, expecting - I - DEL#CORR, na - I - DEL#CORR, ma - I - DEL#CORR, received - I - DEL#CORR, yung - I - DEL#CORR, parang - I - DEL#CORR, gradient - I - DEL#CORR, na - I - DEL#CORR, water - I - DEL#CORR, bottle - I - DEL#CORR, pero - I - DEL#CORR, iba - I - DEL#CORR, po - I - DEL#CORR, yung - I - DEL#CORR, na - I - DEL#CORR, received - I - DEL#CORR, namin - O - , but - O - , okay - O - , lang - O - , anjan - O - , na - O - , yan - O - , eh - O - ",
"hindi black yung eyeliner na dumating, pwro black yakaga inorder ko.","hindi - B - DEL#CORR, black - I - DEL#CORR, yung - I - DEL#CORR, eyeliner - I - DEL#CORR, na - I - DEL#CORR, dumating - I - DEL#CORR, pwro - O - , black - O - , yakaga - O - , inorder - O - , ko - O - ",
"grabe naman to'h 2 liters order ko tapos dumating 1 liter lang. bibigay ko pa sana sa mama ko kaso pang grade 1. diko na masauli kase diko alam pano, dadalhin pa daw sa may j&t para masaoli ehh wala akong alam san yun . ","grabe - O - , naman - O - , toh - O - , 2 - B - DEL#CORR, liters - I - DEL#CORR, order - I - DEL#CORR, ko - I - DEL#CORR, tapos - I - DEL#CORR, dumating - I - DEL#CORR, 1 - I - DEL#CORR, liter - I - DEL#CORR, lang - I - DEL#CORR, bibigay - O - , ko - O - , pa - O - , sana - O - , sa - O - , mama - O - , ko - O - , kaso - O - , pang - O - , grade - O - , 1 - O - , diko - O - , na - O - , masauli - O - , kase - O - , diko - O - , alam - O - , pano - O - , dadalhin - O - , pa - O - , daw - O - , sa - O - , may - O - , jt - O - , para - O - , masaoli - O - , ehh - O - , wala - O - , akong - O - , alam - O - , san - O - , yun - O - ",bibigay ko pa sana sa mama ko kaso pang grade 1 - PRO#SIZE
di nasunod yung ibang color na inorder ko pero oks lng good quality nmn,"di - O - , nasunod - O - , yung - O - , ibang - O - , color - O - , na - O - , inorder - O - , ko - O - , pero - O - , oks - O - , lng - O - , good - O - , quality - O - , nmn - O - ","di nasunod yung ibang color na inorder ko - DEL#CORR, good quality - PRO#GEN"
nung pagkabukas ko package yung keyboard is nakabukaka (slightly open) kala ko sira na. fast delivery naman.,"nung - B - PRO#COND, pagkabukas - I - PRO#COND, ko - I - PRO#COND, package - I - PRO#COND, yung - I - PRO#COND, keyboard - I - PRO#COND, is - I - PRO#COND, nakabukaka - I - PRO#COND, slightly - I - PRO#COND, open - I - PRO#COND, kala - O - , ko - O - , sira - O - , na - O - , fast - B - DEL#TIME, delivery - I - DEL#TIME, naman - I - DEL#TIME",
"ang dali ra masira oy. at first madali gamitin, ngayon ay di na nakakaputol ng hair. na s-stuck na sya. yun lang. thanks","ang - O - , dali - O - , ra - O - , masira - O - , oy - O - , at - O - , first - O - , madali - O - , gamitin - O - , ngayon - O - , ay - O - , di - O - , na - O - , nakakaputol - O - , ng - O - , hair - O - , na - B - PRO#FUNC, sstuck - I - PRO#FUNC, na - I - PRO#FUNC, sya - I - PRO#FUNC, yun - O - , lang - O - , thanks - O - ","ang dali ra - PRO#DUR, at first madali gamitin - PRO#FUNC, di na nakakaputol ng hair - PRO#EFF"
wala seller service is excellent. delivery was immidiate. the product itself is poor. very very weak airflow almost cant feel it. hindi man lang ma ihip yung buhok ng aso,"wala - O - , seller - B - SER#GEN, service - I - SER#GEN, is - I - SER#GEN, excellent - I - SER#GEN, delivery - B - DEL#TIME, was - I - DEL#TIME, immidiate - I - DEL#TIME, the - O - , product - B - PRO#GEN, itself - I - PRO#GEN, is - I - PRO#GEN, poor - I - PRO#GEN, very - O - , very - O - , weak - O - , airflow - O - , almost - O - , cant - O - , feel - O - , it - O - , hindi - O - , man - O - , lang - O - , ma - O - , ihip - O - , yung - O - , buhok - O - , ng - O - , aso - O - ",very weak airflow almost cant feel it hindi man lang ma ihip yung buhok ng aso - PRO#EFF
"change feedback, mag isa syang nag aactivate nang timer kagabi, parang sira","change - O - , feedback - O - , mag - B - PRO#FUNC, isa - I - PRO#FUNC, syang - I - PRO#FUNC, nag - I - PRO#FUNC, aactivate - I - PRO#FUNC, nang - I - PRO#FUNC, timer - I - PRO#FUNC, kagabi - I - PRO#FUNC, parang - I - PRO#FUNC, sira - I - PRO#FUNC",
"dalawa yung binili ko, isa sakin tsaka sa friend ko. first of all, kaunti lang yung laman nung isa, habang medyo mas lamang yung sa isa. about sa color, maroon yung sa tingin kong dapat maging kakalabasan niya pero violet yung kulay niya kapag nilagay na sa labi. also, kulang","dalawa - O - , yung - O - , binili - O - , ko - O - , isa - O - , sakin - O - , tsaka - O - , sa - O - , friend - O - , ko - O - , first - O - , of - O - , all - O - , kaunti - O - , lang - O - , yung - O - , laman - O - , nung - O - , isa - O - , habang - O - , medyo - O - , mas - O - , lamang - O - , yung - O - , sa - O - , isa - O - , about - B - PRO#COL, sa - I - PRO#COL, color - I - PRO#COL, maroon - I - PRO#COL, yung - I - PRO#COL, sa - I - PRO#COL, tingin - I - PRO#COL, kong - I - PRO#COL, dapat - I - PRO#COL, maging - I - PRO#COL, kakalabasan - I - PRO#COL, niya - I - PRO#COL, pero - I - PRO#COL, violet - I - PRO#COL, yung - I - PRO#COL, kulay - I - PRO#COL, niya - I - PRO#COL, kapag - I - PRO#COL, nilagay - I - PRO#COL, na - I - PRO#COL, sa - I - PRO#COL, labi - I - PRO#COL, also - O - , kulang - O - ",kaunti lang yung laman nung isa habang medyo mas lamang yung sa isa - PRO#COND
ok na sana pero hindi 10 meters 6 meters lang saan ang 4 meters kada isang roll magpa katotoo naman sa post niyo,"ok - O - , na - O - , sana - O - , pero - O - , hindi - O - , 10 - O - , meters - O - , 6 - O - , meters - O - , lang - O - , saan - O - , ang - O - , 4 - O - , meters - O - , kada - O - , isang - O - , roll - O - , magpa - B - SER#TRU, katotoo - I - SER#TRU, naman - I - SER#TRU, sa - I - SER#TRU, post - I - SER#TRU, niyo - I - SER#TRU",hindi 10 meters 6 meters lang saan ang 4 meters kada isang roll - PRO#SIZE
amoy plastic amputa tagal ko inorder now lang dumating. amoy plastic pa huhu why,"amoy - O - , plastic - O - , amputa - O - , tagal - B - DEL#TIME, ko - I - DEL#TIME, inorder - I - DEL#TIME, now - I - DEL#TIME, lang - I - DEL#TIME, dumating - I - DEL#TIME, amoy - O - , plastic - O - , pa - O - , huhu - O - , why - O - ","amoy plastic - PRO#SENS, amoy plastic - PRO#SENS"
"not good/ not satisfied omg! sa quality nya para sakin hindi okay akala ko yung na sstrech talaga sya e hindi naman pala. sa picture at live na nagbebenta goods sya in person hindi na pala pero thats business, sobrang nanghinayang ako","not - O - , good - O - , not - O - , satisfied - O - , omg - O - , sa - O - , quality - B - PRO#GEN, nya - I - PRO#GEN, para - I - PRO#GEN, sakin - I - PRO#GEN, hindi - I - PRO#GEN, okay - I - PRO#GEN, akala - B - PRO#CORR, ko - I - PRO#CORR, yung - I - PRO#CORR, na - I - PRO#CORR, sstrech - I - PRO#CORR, talaga - I - PRO#CORR, sya - I - PRO#CORR, e - I - PRO#CORR, hindi - I - PRO#CORR, naman - I - PRO#CORR, pala - I - PRO#CORR, sa - B - PRO#CORR, picture - I - PRO#CORR, at - I - PRO#CORR, live - I - PRO#CORR, na - I - PRO#CORR, nagbebenta - I - PRO#CORR, goods - I - PRO#CORR, sya - I - PRO#CORR, in - I - PRO#CORR, person - I - PRO#CORR, hindi - I - PRO#CORR, na - I - PRO#CORR, pala - I - PRO#CORR, pero - O - , thats - O - , business - O - , sobrang - O - , nanghinayang - O - , ako - O - ",not good not satisfied - PRO#GEN
actually kala ko 10meters pro 6meters lang ng sinukat ko,"actually - O - , kala - O - , ko - O - , 10meters - O - , pro - O - , 6meters - O - , lang - O - , ng - O - , sinukat - O - , ko - O - ",10meters pro 6meters lang ng sinukat ko - PRO#SIZE
subrang tagal e ship. nag order ako ng 9 9 ngayon ko palang na receive 9/24 mag 1 month bago ko marecive ang item ang pangit ng service di responsible si seller .,"subrang - B - DEL#TIME, tagal - I - DEL#TIME, e - I - DEL#TIME, ship - I - DEL#TIME, nag - B - DEL#TIME, order - I - DEL#TIME, ako - I - DEL#TIME, ng - I - DEL#TIME, 9 - I - DEL#TIME, 9 - I - DEL#TIME, ngayon - I - DEL#TIME, ko - I - DEL#TIME, palang - I - DEL#TIME, na - I - DEL#TIME, receive - I - DEL#TIME, 924 - I - DEL#TIME, mag - I - DEL#TIME, 1 - I - DEL#TIME, month - I - DEL#TIME, bago - I - DEL#TIME, ko - I - DEL#TIME, marecive - I - DEL#TIME, ang - I - DEL#TIME, item - I - DEL#TIME, ang - O - , pangit - B - SER#GEN, ng - I - SER#GEN, service - I - SER#GEN, di - I - SER#GEN, responsible - I - SER#GEN, si - I - SER#GEN, seller - I - SER#GEN",
oil based kadisappoint lang yung cloud ksi parang iba yung amoy antapang may pag kalalake rin siyang scent which is not the same sa usual na binibili ko then amoy na amoy talaga yung alchohol sa bawat perfume pero i guess it’s worth the price mura lng naman kaya ok,"oil - O - , based - O - , kadisappoint - O - , lang - O - , yung - O - , cloud - O - , ksi - O - , parang - O - , iba - B - PRO#SENS, yung - I - PRO#SENS, amoy - I - PRO#SENS, antapang - I - PRO#SENS, may - I - PRO#SENS, pag - I - PRO#SENS, kalalake - I - PRO#SENS, rin - I - PRO#SENS, siyang - I - PRO#SENS, scent - O - , which - O - , is - O - , not - O - , the - O - , same - O - , sa - O - , usual - O - , na - O - , binibili - O - , ko - O - , then - O - , amoy - B - PRO#SENS, na - I - PRO#SENS, amoy - I - PRO#SENS, talaga - I - PRO#SENS, yung - I - PRO#SENS, alchohol - I - PRO#SENS, sa - I - PRO#SENS, bawat - I - PRO#SENS, perfume - I - PRO#SENS, pero - O - , i - O - , guess - O - , its - O - , worth - B - PRI#VOM, the - I - PRI#VOM, price - I - PRI#VOM, mura - B - PRI#AFF, lng - I - PRI#AFF, naman - O - , kaya - O - , ok - O - ",not the same sa usual - PRO#COND
"late dumating ung parcel and sira ung product,hnd gmagana,,on lng tpos wla na","late - B - DEL#TIME, dumating - I - DEL#TIME, ung - I - DEL#TIME, parcel - I - DEL#TIME, and - O - , sira - B - PRO#FUNC, ung - I - PRO#FUNC, producthnd - I - PRO#FUNC, gmaganaon - I - PRO#FUNC, lng - I - PRO#FUNC, tpos - I - PRO#FUNC, wla - I - PRO#FUNC, na - I - PRO#FUNC",
i don't think nsa 10meters ito .lukot pa,"i - B - PRO#SIZE, dont - I - PRO#SIZE, think - I - PRO#SIZE, nsa - I - PRO#SIZE, 10meters - I - PRO#SIZE, ito - I - PRO#SIZE, lukot - O - , pa - O - ",lukot pa - PRO#COND
