Review #,Review,product,delivery,price,service,explanation,,,
20,good quality namankaso lng akala ko yung size 40 png lalaki cya hndi pala sa png babaye palamaliit lng sa husband ko,1,0,0,0,Reviews quality but size expectation.,,,
21,kakarating lang kahapon nagcrack kaagad yung piyesa na kinakabitan ng ilaw imbis na humigpit lalong lumuluwag kaya ang ending nakayuko yung ilaw pag nakakabit yung cp ko pero maganda naman yung ilaw may konting scratches lang sya good for the price nadin naman,1,0,1,0,Reviews the product cracking after just getting it but mentions that the light is nice for the price.,,,
22,rated it for only 3 starts kasi walang pang lock yung phone holder medyo nakaka disappoint kasi im looking forward mgamit na namin ito huhu but the ring light is working fine naman,1,0,0,0,Reviews the product lacking a phone holder lock.,,,
23,you get what you paid for unable to take pictures na keri naman sa price,1,0,1,0,Mentions that the price is good,,,
24,ok nareceved kuna po sellerorder kopo nadismaya lng po aq sa size kz dapat ung size nyopo ung tama talaga examc large dapat large oh c xl dapat xl talaga po eh ang liit po c large para mediumc xl parang large nakakadismaya po nga ung mga size ay di,1,0,0,0,Received item but unsatisfied with the size.,,,
25,hinde parehas sa kulay na nasa pic inorder ko,0,1,0,0,The color ordered and the color received is not the same.,,,
26,di sya universal tols mura lang naman kaso sana maayos yung details yung plastic bag and yung latex gloves goods naman,1,0,1,0,Mentions cheap price and not universal.,,,
27,received my order not super soft hindi tulad sa nabili ko dati napakalambot masasabi ko lang ok lang yung item and medyo mataas sya,1,0,0,0,Compared to previously purchased product not too soft and high.,,,
28,maganda naman for its price maganda siya kaso nga lang walang bubble wrap and nung binuksan ko parcel yupi yupi na talaga akala ko din nasira na ang order ko dahil hindi na pack ng maayos,1,0,1,0,Reviews product as good but mentions packaging quality.,,,
29,di ko pa na try yung seller na to color blind ata black red order ko pinadala imbis na red gold,0,1,0,0,Delivered wrong color.,,,
30,honest review lang tayo dito ah mabango sya maayos at maganda at makapal ang bubble wrap at ok pero may natapon konti pero oks lang yun atsaka pala hindi gaano nag tatagal amoy nya sa katawan siguro a few minutes lang wala na yung amoy nya yun lang pero depende,1,0,0,0,Reviews smell.,,,
31,small lang pala sya pero cute in all fairness products worth is fairthank u for fast shipping bagay sa bagets kong kahit may aircon na sa school pawis pa din paguwian na,1,1,1,0,Reviews size and fast shipping.,,,
32,good quality naman kulang lang ng isang order nung diniliver sakin sana mapadala pa bayad namab eh salamat,1,1,0,0,Quality good but lacks 1 out of 3,,,
33,maganda ung laman ng mystery pouch kaso sira ung smart watch tsaka medyo sira packaging din ng watch seller response namn po,1,0,0,1,Product quality with damaged packaging and response of the seller.,,,
34,ok naman medjo malakas pero sana if ganto ang oorderinibebenta pls paki lagyan din ng bubble rap kasi baka madamage ang parcel lalo nat walang naka sulat na fragile thank you,1,0,0,0,Reviews product as ok,but lacking bubblewrap to avoid damage,,
35,iba pinadala don sa unang order qo ung una ang ayos ngaun subrang nipis at ang bilis ma puno na tagos ihi ni baby sa labas ng diaper unang order lng pla maganda ipapadala pag order ulet hnd na may mga madusumi pang ibang diaper,1,0,0,0,Compared with the first order being thin,,,
36,quality too early to tell as of now ok naman 4 orders kong bra yun 2 bra tama redcream 2 ang palpakblack  brown ang size na enorder ko is size 38 and 35 pero yung dalawa 34 dumating so maliabala naman mag sauli kaya nga online purchased pra sa,1,0,0,0,Product 2 out of 4 orders ok,,,
37,xl pero mas malaki pa yung l  bakit ganito to ok sana yung color first time ko pa naman mag shoppe tapos ganyan lang makukuha ko pero yung l ang size walang damage tapos tama pero yung xl talaga may punit na nga mali pa yung size,1,0,0,0,Incorrect and damanged order,,,
38,black dumating tong order ko knina ung tipong excited nko e sukat kaso pg suot ang bitin ung pang lock nya s taas ang pangit tingnan pg isuotthanks prin lalo n ky ate rider,1,0,0,0,Received item with wrong color,,,
39,pang kid na sticker free lang naman bigay ko nalang sa niece ko,1,0,0,0,Too small for expected use,,,
40,oily since oil based perfume naman yun lang medyo nalungkot ako malayo siya sa amoy ng cloud since ito ay minty sweet pero pwede na for 79 pesos,1,0,1,0,Difference between smell expectations and reality.,,,
41,pang second order na wala paden spatulagrabe nmn tipid ni seller,0,0,0,1,Lack of spatulafrom seller,,,
42,bilis dumating ok sana kaso xl lang pinadala and order ko po ay xxl will order again pero sana tamang size na ipadala please sana xxl na yung next order ko ty,0,1,0,0,Order size incorrect.,,,
43,finally i resive my items napaka tagal dumating aka la ko yung pony is malaki gaya ng nabibili dto disappointed ako sa ponytail pero okay narin andito na e thank you parin,1,1,0,0,The size of the pony is small and long to deliver,,,
44,baliko po sya pero yung sa una kong order hindu naman ganun pero goods naman po inayos ko nalang,1,0,0,0,Product defect.,,,
45,medyo manipis mga shirt medium quality lang,1,0,0,0,Shirt quality.,,,
46,maganda nmn sya kaso yong full brightness hindi ganon ka linaw tpos yong lalagyan din ng phone medjo hindi sakto sa ring kasi nga maliit yong ring tas yong phone holder malaki pero okay na rin to pang online teaching gawan nlng ng paraan salamat parin shopee at sa raider,1,0,0,0,Reviews brightness and the mismatch between phone holder and ring sizes,with context on its use for online teaching.,,
47,may sira yung green na slippers pero nung chinat ko si seller for refund di daw pwede full refund discount na lng daw tapos yung sa refund request ko gusto nya 10 pesos lng irefundano kaya yun eh worth 69 pesos yung slippersmay mga dumi pa na maliit yung green,1,0,0,1,Describes damaged slippers,seller's refusal to full refund,dirt on the slippers,and conflicting amounts for refund.
48,maliit sya pra sa 3xl maybe large size would fit,1,0,0,0,Size off.,,,
49,kala ko ba kcng laki ng cellphone hays expectations vs reality well okay naman ung umbrella,1,0,0,0,Not as big as what I expected,,,
50,hindi masyado matibay yupi at tuklap ung isa ung iba yupi yupi kaya natuklap at ang pag ka wrap ang duming tingnan thank you s rider ang bait nya,1,0,0,0,Product flimsy,cracked and dirty,,
51,good sana i am very sad to what i had received last week i thought i will receive the exact pcs that i had orderd 2pcs nakakadismaya sakto yung perang binayad ko pero kulang ang nareceive ko na order nasabi q sa sarili at sa rider na sana hindi nlng,0,0,0,0,Mentions that the product is incomplete.,,,
52,i was just expecting sana sa salamin yung itim cia tingnan kaso yung dumating plain lang d ko nagustuhan,1,0,0,0,Product color not what she was expecting.,,,
53,bakit ang bilis po malowbatpero yung unit okay naman po,1,0,0,0,Battery life.,,,
54,silk like accurate sizing maganda yung product my low waist size is 29 sakto lng yung medium 3 stars kasi di tama yung size na binigay i ordered 3 m yung isa is xl di ko tuloy masuot kasi malaki masyado,1,0,0,0,Ordered incorrect size,,,
55,goods ang sound niya boo ang base at kubog ng sound yun lng hindi kaya full volume malakas legit and fast delivery,1,1,0,0,Product and the delivery process.,,,
56,i dont think this is size 38 ang laki niya for me and tinignan ko yung size nakabura i dont know why i think u gave wrong size,1,0,0,0,Size expectation.,,,
57,uhmmmmm may gasgas sya at mukhang nagamit na pero okey na din kaya bawas star muna sa akin worth of 9 pesos sya with it sa proce kasi may gasgas salamat nlang,1,0,1,0,Product with scratches worth of price,,,
58,not really good mali yung color na binigay at mas maliit yung size nung green hindi rin sya flexible tulad ng nakalagay sa product description nila wala rin hangin dun sa 2 bilog at mejo maingay yung fan nya mejo mahina rin yung buga ng fan nya di rin nagrereply,1,0,0,1,Product poor due to the color and size,fan is noisy,small,
59,810 fast shippingang ingay at hnd gnun kalakas ung hangin,1,1,0,0,Product and fast shipping.,,,
60,the pants were of good quality when it came but after 1 use nagkaganito na yung damit sad sobrang ganda pa naman nya pero ganun talaga di naman ganun kamahal yung item and nag order ulit ako pero di pa dumadating ang magamda sa seller nagsend muna sila pictures before,1,0,1,0,reviews good quality product but damaged after 1 use,product is cheap.,,
61,not that satisfied,0,0,0,0,No aspects mentioned.,,,
62,the item itself is okay nmn  i like one piece  mystery pouch pero naihalo sa mystery box i mean bsta isahan na sa isang pouch ung dalawang mystery na order ko,0,0,0,0,No aspects,,,
63,first ung box nya hindi ung black which is nakita ko sa reviews na ung box nila is original box na ung black second ung remote nya na intsik which is paano ko naman malalaman alin pipindutin kung intsik sya which is un nga huhulaan ko na lang so far,1,0,0,0,Not original box,,,
64,nakakadismaya kase kala ko masusuot ko yung inorder ko kaso anliit ng size 41 parang yung size 41 size 38 e sayang pera ko kainis,1,0,1,0,Product and price.,,,
65,may damage po yung dumating,1,0,0,0,Product damage,,,
66,not good sobrang liliit lng pla nto grabe ang pangit ng items nyo,1,0,0,0,Item size.,,,
67,the mascara is nice tho it cant hold the curl of my lashes and when i curl my lashes again natatanggal yung mascara,1,0,0,0,Quality wise good but it cant hold the curl.,,,
68,quality is nice pero yung light nakikita yung padding sa loob pag sinuot hindi rin same size yung dalawa nung dumating,1,0,0,0,Product quality and size.,,,
69,35 di siya gaano ka lakas diko pa na tetest yung battery limit niya charging  lowbat time sana sana lang tlga mag tagal kulang na nga item tas baka di pa mag tagal,1,0,0,0,Not so strong battery and product defect,,,
70,manipis lng hnd n tulad ng unang lbs n mkapal at madikitpiro nfernes ha nka 2 n aq order dto s shop n ito kht manipis,1,0,0,0,Product quality.,,,
71,pangalawang beses ko nang bumili and i dont know kung bakit ganon may ibang amoy sya na halo naaamoy mo pa naman yung pagka scent nya pero may halo talagang di ko alam kung anong amoy iyon,1,0,0,0,The smell compared with previous order.,,,
72,maganda naman product comfy sya ang problema lang is sobrang unapproachable si seller hindi manlang nagrereply thank you pa din,1,0,0,1,Good product,unapproachable and unresponsive seller,,
73,i thought na mag kasing laki lng sila ng lip balm kothe violet one tsaka para lng syang lip therapyhalos wlang colorbut its okaydi nmn nasayang pera ko hehe,1,0,1,0,Expected size same as lip balm and not a waste of money,,,
74,love it sulit okay na maganda yung kulay pero obvious yung foam sa beige at whitepero overall akoy na yung item para sa price nya hueag lang magexpect ng high quality,1,0,1,0,Reviews product as good for the price.,,,
75,expected quality met but mali yung color na pinadala  we ordered grey but received blck  fast delivery tho,0,1,0,0,Delivery of wrong color.,,,
76,good oorder ulit ako,0,0,0,0,No aspect mentioned,,,
77,working naman medjo malakas din kaya lang medjo maingay nagmessage ako kay seller na pink gusto ko misleading kasi yung nasa pic pink pero green yung description oks na din bigay ko nalang sa pamangkin ko,1,0,0,1,Reviews noise and misleading ad,,,
78,okay naman sya kaso di kasha saken hahah sa kapatid ko lang nag kasha hahaha sayangg pero goods sya thumbs uppppppllolooopp,1,0,0,0,Incorrect size.,,,
79,so disappointed d sya maganda,1,0,0,0,Bad product.,,,
80,maayos naman nung dumatingsecured at naka bubble wrapbut im disappointed for product qualityparang cherry mobile yung system at samsung yung casebilis malobatyung expected m na ganon ang productfirst photo pero nung dumating ganito palasecond photo,1,0,0,0,Describes product quality and battery drain.,,,
81,may isang sira sayang lugi next time itry nyo muna bago ipadala hindi sa courier to kase ang problema ay nasa item mismo yung color ng cord hindi align magpicture pl habang nanonood at ipasa po sa akin sa messenger thansks po,1,0,1,0,Damaged product but the rider good,,,
82,maganda naman yung items na bra dkuna na picturan  second time nako nag order pero pangalang order ko may damage  pero ok naman matatahi naman siya,1,0,0,0,The quality of the product is good but there are some damage,,,
83,ang nipis tas ung automatic umbrella ang hirap buksan ang tigasd gaya ng nabili q sa ibaung manual nman mas manipis sa automatic prang plastic nlng ung covermukhang mabilis masira pag nilipad ng hanginkaya 3 stars lng mabilis lng ung deliveryat packaging maayos,1,1,0,0,Product hard to open,thin and can be damaged easily.,,
84,plastic ang gandaaa pa din thank you po seller,1,0,0,0,Material is plastic but the product is good,,,
85,sobrang nipis ang inorder ko light gray ang naricive ko dark gray mag returnrefund sana ko kaso sayang oras sana maging tama po ang binigay niyo,1,0,0,0,Product,thin and given a wrong color,,
86,ok namqn ung lip balm ang panget nga lang ng scrunchies di kagaya nung nasa disphlay photo nila,1,0,0,0,Lip balm review,,,
87,not good ayaw na umandar after first use tagal shipping okay naman unang nabili ko but the 2nd order na 2 items pa sira na agad the battery i put is new,1,1,0,0,Bad product,slow shipping,and defective battery.,
88,medyo maliit po pla ang sizepero thankyou po,1,0,0,0,Small size.,,,
89,hindi na ko bibili ulit sa shopee sa tiktok na ko bibili mas mura free shipping pa,0,0,1,0,cheap prices than shopee,,,
90,magaan lang pala its working naman po hope magtagal po thank u,1,0,0,0,Light working product.,,,
91,a good product sana in cleaning your beds but you can only use it for around 15mins at a time before it stops functioning and needs to rest for 12hours 15mins is not even enough to properly vacuum 1 single bed  paano if you have several beds to vacuum,1,0,0,0,Reviews product effectiveness and usage limitations.,,,
92,ung selfie lights po ilang oras kona ni chrge ayaw gumananakaka turn off kase peke kaya pala mura sayang lang halangan gamitin ko habang naka charge ano un tanga langnakaka sad tlga excited pa nmn ako gamitin tapos gnyn den,1,0,1,0,Reviews selfie lights being fake and cheap and a waste of money.,,,
93,mabilis dumating ang package maayos nman ang packaging nka bubblewrap gumagana naman yung lights nya magaan yung stand compare sa una naming ringlight disappointing lang yung size ng stand kasi 210cm order ko tas dumaring ay wla pang 180cm rate as 3 star lng,1,1,0,0,fast arrival with package and lights working,,,
94,3 star hindi gumagana sa cp ko ang bluetooth pero triny ko sa ibang cp okay naman sya lalo same unit lang din kami nung isang triny ko kaya di ko sure kung ang sira is phone ko or itong item na in order ko  ty,1,0,0,0,Product not working.,,,
95,may crack po yung isang pair ng sandals okay naman yung isa sana chineck po ng maayos but other than that okay naman sana matagal magamit thankyou parin seller,1,0,0,0,Product defect,,,
96,local hindi gumagana yung mouthpiece at volume button,1,0,0,0,Not working.,,,
97,great quality,1,0,0,0,Good product,,,
98,oorder pa sana ako nito kaso si seller di ngreresponse kulang ung pinadalang order s akin kya wag nlng,0,0,0,1,Seller does not respond,,,
99,i was actually disappointed kasi yung sizing is not giving literal na 2xl masikip sya for 2xl hindi sya true to size anyways maganda naman yung tela mainit hindi ka bastabasta lalamigin thanks seller,1,0,0,0,Bad sizing.,,,
100,dont much in the picture magkaiba ang design in actual but its okay,1,0,0,0,Actual design.,,,
101,pang bahay ko lang sana or panv banyo kaso ang ingay bat ganun,1,0,0,0,,,,
102,ok lng quality but disappointed ako dalawa inorder ko dalawang mouse pad na received ko pero same lang ng design hindi man lng pinalitan ng magkaibang design,1,0,0,0,,,,
103,ok nman sya kaso ung black deform ung isang foam kaya medyo dismayado ako yung pagkakalagay kasi sa plastic parang bara bara lng,1,0,0,0,,,,
104,mali ung size na bnigay kz my scratch mismo sa size indicator para hindi q madetermine ung size na bnigay nila,1,0,0,0,,,,
105,di ba tlga gumagana ung blue tpos i thought marmai tong kulay red and green lng pla,1,0,0,0,,,,
106,ok medyo yung sulat ng pen is napuputol kaya idadaan mo ulet na gulat ako kasi akala ko pang ipad lahat na pen sumusulat pala tas maganda naman magsulat gamit yung malapad na pen mas madali sumulat sa ipad pero yung isang pen na pang papel yun lang hahahaha thank,1,0,0,0,,,,
107,nipis ng tela nagiging see through tuloy pag sinuot at kitang kita yung padding sakto yung size sakin pero nayupi and nadeform yung pads,1,0,0,0,,,,
108,looks sturdy naman and so nice i am disappointed of how they packed my order it is not packed securely the handle only has the bubble wrap poor packaging po i can suggest to improve how you pack the order of your customers to avoid any damages as the parcel,0,1,0,0,,,,
109,510 tbh i dont like the design medj disappointed maganda sya sa pic pero sa personal meh also the packaging wala lng man bubble wrap the product could have been broke or damaged but luckily wala naman,1,1,0,0,,,,
110,napakasaya ko saktong sakto sa mga baby ko finally nakahanap din ng shop na tama size sa aking mga bebe napakabilis dumating at goodquality ang shoes pag dating,1,1,0,0,,,,
111,yung isa hindi gumagana pag di nakacharge or naka plug,1,0,0,0,,,,
112,alaws to guys unting hangin lang yupi agad,1,0,0,0,,,,
113,may sira sya nung dumating but it still works thankyou parin sana next time wala na syang basag yun lng po spread love haa,1,0,0,0,,,,
114,received kna po ty seller and rider kaso kulang yong order ko,0,0,0,1,,,,
115,please double the bubble wrap may dents yung outer layer ng wallpaper dahil hindi careful ang pag handle ng courier sa dulong roll ng wallpaper puro lukot na sayang hindi magamit 3 stars overall,1,1,0,0,,,,
116,ang cute nya tsaka comfy po,1,0,0,0,,,,
117,maganda naman yung quality may minimal scratch lang and medyo maliit pala yung size cause im usually size 37 but idk bakit di kasya huhu pero overall goods sya for its price,1,0,1,0,,,,
118,maganda yung headset at yung stand ng phone kaso na disappoint ako sa neck fancooler gumagana naman kaso di siya adjustable compared sa nauna kung nabili,1,0,0,0,,,,
119,panis namn na ng panis to oks namn nung una akong bumili pero ngayon,1,0,0,0,,,,
120,pangit ung itim parang nakacrochet ung tela nung itim hndi ko type mas ok ung purple mabilis nman delivery nagsend din ng picture c seller but didnt show ung mismong item i mean nakabalot n nung nagsend ng picture anyways thank you seller and shoppee,1,1,0,0,,,,
121,ang liit maganda sana saka mabilis maship kaso pa large size na ako eh hindi na kasya sakin yung ganto kaliit huhuhu ang liit maganda sana saka mabilis maship kaso pa large size na ako eh hindi na kasya sakin yung ganto kaliit huhuhu ang liit,1,1,0,0,,,,
122,thank you sellerbet ko sya kahit maliit pero cutie,1,0,0,0,,,,
123,feeling ko nalugi ako sa 233 nag expect pa nmn ako na malakas sya mas malakas pa nga buga nung tag 100 na binili ko sa tabi tabi eh cute uo pde mo sya madala kung saan tska ung sa battery bat ganun nakadikit d pde matanggal may extra batteries,1,0,1,0,,,,
124,automatic naman sya pero mabigat pala talaga may butas po ang payong sana po e check muna ang item if may damage or wala 3 po ang butas,1,0,0,1,,,,
125,not good medyo maliit yung buy ko pero yung nabili kng ibang shoes nya 26 may allowance pa saknya tung sapatos na to sakto lag walang allowance huhu maliit size nila same cm lgnama,1,0,0,0,,,,
126,hi seller yung isang product is hindi gumagana idk kung charger ba ang problem,1,0,0,0,,,,
127,2nd order ko na pero di ko nagustuhan yung strap di sia adjustable sa mahimulmol din pero kayang gawan ng paraandi gaya nung una maganda talaga,1,0,0,0,,,,
128,wrong rin nareceived i ordered pink and i received white nextime please inform the buyer first if you will send other color specially double check the item kung working properly,0,1,0,1,,,,
129,maliit naman kasya sa bag pero bulky ok lang pero kung nagmamadali ka buksan medyo hassle to kasi ang hirap buksan kasyang kaya naman sa bag which is a plus points for me,1,0,0,0,,,,
130,okay naman yung product received in a good condition although merong part sa strap na medyo angat sya and i think mabilis syang masira dahil dun hoping na maging matibay,1,0,0,0,,,,
131,damage donno kung during shipping na ito na damage sayang at maganda pa naman,1,1,0,0,,,,
132,ok lang siya for its price you really get what you paid for mura siya so you wont expect excellent quality but i hope hindi sila nagffalse advertise na makapal siya nasa title mismo na makapal so its so disappionting kasi its so thin pagdating may ilan na ding natastas,1,0,1,0,,,,
133,cotton pero di nmn ganon kakapal thanks to manong delivery sa fast deliver its good next time xl nmn kunin q medyo bitin pl pag large lungs,1,1,0,0,,,,
134,nice nadeliver ng maayos at mabilis,0,1,0,0,,,,
135,items are all in good condition well packed however hindi nagrereply si seller naka automatic response lng wrong colors ung dalawang items kaya na stock samin apricot naging white tas pink naging beige sana inabisuhan muna po,0,1,0,1,,,,
136,may scratch po yung shoes oks lang tho di naman po ako particular pero huhu bago palang kasi,1,0,0,0,,,,
137,magaganda yung damit pro yung socks iba ang pndla maling mali sa order q so dissapointed s part n yun new born mgsusuot pro ang pndla skin subrang laki at haba susko kasya n sa 3 yrs old ok lng sna n mplitan kng sa category lng dn ng pnili,1,0,0,0,,,,
138,order received correct ung pinadala ni seller thank you,0,0,0,1,,,,
139,so so i asked the seller to quality check the item first before shipping to make sure the product is working unfortunately they did not one side is defective sayang lang pera ko kasi may mas mura naman pala sa ibang shop na matibay at both sides of the fans,1,0,1,0,,,,
140,good maliit yung size nya i ordered 38 kaso parang 37 lang pero ok na din magagamit pa din pang loob ng bahay fast delivery din i suggest magdagdag na lang ng 1 size pa dun sa original size ng paa nyo,1,1,0,0,,,,
141,ok naman sya kaso not the same dun sa picture na nasa post ninyo di masyado makapal,1,0,0,0,,,,
142,received the itemin good condition walang damage o siracovenient kasi portable katagalan parang lulubog ung sa middle part medyo mahina dn ung fans kasi maliit update nabali lahat ng legs ng table ahhahaha kahit sobrang ingat mo gumamit,1,0,0,0,,,,
143,it do last but binanagsak niya yung lashes ko,1,0,0,0,,,,
144,70 overall its good naman kaso lang walang wiper,1,0,0,0,,,,
145,kala ko plain pink bakit mag star sya haist pero okay nman ang white color na gustohan ko salamat parin,1,0,0,0,,,,
146,i do received wrong item but hindi na ako magrereturn ng item since need ko na ng sandals even though mali yung nareceive ko maganda yung quality,1,0,0,0,,,,
147,medyo manipis yung item tapos sobrang tagal bago naship out almost 1 month bago na receive tapos kulang 9 meters lang yung haba,1,1,0,0,,,,
148,810 ok nrin safe nman dumting ung item good nmn sya pg dting s performance mdyo mhina ung fan nya tska madali ma low bat pro ok nrin nman sakto lang pra s price nya mas ok dn sna kung mdyo tumtgal ung battery health kc di sulit lalo n,1,1,1,0,,,,
149,skintonepink bakit mag kaiba ng size tapat kung di na avail ang size nag chat kisa di naman kasya sakin pinalitan ko nalang sana ng ibang kulay,1,0,0,1,,,,
150,nakaka inis nakakawalang gana picture ran ng maayos dinaman to order ko eh panga lawa nato ah,0,0,0,0,,,,
151,too small ordered 38 mukhang pang 34 ang size,1,0,0,0,,,,
152,3 stars kase dalawa ung inorder ko ung isa hindi nagchacharge buti nlng at narefund naman yung isa ilang araw din nakipagtalo ung seller clone lng tong phone na to,1,0,0,1,,,,
153,wrong design ang pinadala particularly red beetle  yellow bee,0,1,0,0,,,,
154,maganda yung salamin kaso pag chinacharge di mo malalaman kung nagchacharge ba kasi wala manlang umiilaw and kahit icharge mo magdamag di parin malakas hangin at light saglitan lang wala na sa ballpen ako nagandahan maganda yung sulat nya di makalat,1,0,0,0,,,,
155,thank you kya lng dq gusto un smell nya pngregalo q n lng,1,0,0,0,,,,
156,ok nmn po malambot kso mali aku ng napili ng cup any ways thank you po,1,0,0,0,,,,
157,di maganda yung nasal aspiratormasyadong malambot at natatanggal yung pinakamaliit n bilog na which is parang delikado pa sa baby kapag ginamit,1,0,0,0,,,,
158,ok nmn sya kaya lang xl ang order ko  xxl ang dumating sobrang laki  papanu yun masusuot wag nmn basta maka benta lang dapat true to size ang ibigay nyo,1,0,0,0,,,,
159,1010 color is item has cracked sa lock nya sana di matuluyan sana tinignan ng mabuti and sinecure bago iship sana magtagal,1,0,0,1,,,,
160,same color ang binigay,0,0,0,0,,,,
161,di mganda ung fake nails in person,1,0,0,0,,,,
162,ok naman sya pero bakit po blue white po yung order ko,0,1,0,0,,,,
163,hindi masyado magandatama lang sa price much better kung sa store nlang bumili pag ganitong style,1,0,1,0,,,,
164,okay nmn ung product pero but ganon seller  20 pesos ung nasa receipt na naka attached  supposedly 15 nlng dapat  kase i redeemed 5 coins,0,0,1,1,,,,
165,the quality is ok medyo maluwag lang ng konti yung strap comfortable naman suotin very disapponting lang sobrang tapang at lakas lang nung amoy na rubber nung slippers nakakasakit ng sikmura,1,0,0,0,,,,
166,good for the price  ok nman ang quality except may mga order ako na socks na hindi nasunod ang design hindi ininform sa akin na iba ang pinadala aside from thati had a smooth transaction with the store and courier  thank u,1,0,1,1,,,,
167,less than 10meter yung nadeliver which is contrary sa claim half lang wall ko ung nalagyan na 220cm220cm,1,1,0,0,,,,
168,not so happy with my purchase ordered red and blue but delivered red and white items have a foul odor as well amoy malansa parang alamang but the quality seems nice and mukhang matibay naman sana maimprove pa ang services nyo para naman satisfied ang mga customers thanks anyway,1,1,0,1,,,,
169,maliit po yung size sorry seller ibbigay kna lng sa hipag ko,1,0,0,0,,,,
170,i ask you do ineed to add one sizekaya ayan maliit,1,0,0,0,,,,
171,amoy kandila sya,1,0,0,0,,,,
172,may sira yung saksakan may crack and mahina ang buga ng hangin then yung box yupi yupi na pero ang cute p rin tlga ganda ng kulay and mura sya compare sa ibang shop thank you,1,1,1,0,,,,
173,matagal dumating pero its not the shops fault 10meters is a good length mabilis lang masira kaya dapat careful sa paglagay cheap din kasi kaya ganun ang quality still it can cover my wall yun lang medyi transparent yjng sa likod kaya nakikita yung under ng wallpaper kapag dinikit ko,1,1,1,0,,,,
174,ang liit pala may goodness i dont like it,1,0,0,0,,,,
175,ang liit sakin ng size 38 actually im size 37 pinasobrahan ko lang ng isa maliit talaga sya like hindi sya pang size 38 but it says there size 38 daw if youre size 37 you should get size 39 seriously its no joke but for the quality rubber sandals,1,0,0,0,,,,
176,not working 1 walang manual na kasama 2 sino po may manual and anong app po ang gamitin thank you,1,0,0,0,,,,
177,i hope ok cya kc png change gift ng anak q yan ska nakakainis yun ngdliver ngmmadali kloka,0,1,0,0,,,,
