Review #,Review,product,delivery,price,service,explanation,,,,
17,second time ko na umorder ng ganitong curler i hope it last the other one kasi nasira yung spring niya sa loob i think for me kasi mas safe ito gamitin compare sa other kind ng curler stainless pwede kasi non maputol lashes anyway thank you seller,1,0,0,1,The review expresses hope about the product lasting longer than the previous one (product),and thanks the seller (service).,,,
18,sira ung box and walang bubble wrapsana,0,1,0,0,The review mentions damaged packaging and lack of bubble wrap which is related to delivery.,,,,
19,may damage po yung isa dpt po paki check na muna bago pinadala hays,1,0,0,0,The review describes that one item has a damage and suggesting to check before shipping which is a product related issue.,,,,
20,thank you po sakto lng po tlaga sa mama ko thank you agian god bless,1,0,0,1,The item size is correct,the reviewer also thanks which could mean seller/service is good.,,,
21,maganda sya pero d naman tlga effective kasi yung anak ko kahit open sya magdamag at nkapurify sumusumpong pa rin allergic rhinitis,1,0,0,0,The product performance not really effective,thus the product aspect.,,,
22,maganda sana kaso d chineck maayos bago isend ung light grey tatlo tas dark grey 2 eee and order ko lang nmn 2 na dahon na wallpaper tapos 5 na dark grey kainis ngaun ko lang napansin na mag kaiba pala sana next time paki check maigi pero maganda nmn,1,0,0,1,The product is good but they didn't check the item before sending.,,,,
23,ang liit ng size kulang yung 1 size up na order pag 34 siguro tama lang na 38 ang order kundi buy ka ng bra extender so kung 36 ang size mo wag ka na umorder kasi maliit ang 38,1,0,0,0,Size is too small.,,,,
24,100 maganda naman dumating naman sakin na safe at walang sira good quality din,1,1,0,0,Quality is good then item arrived with no damage.,,,,
25,8 kc yung small n order ko magic tape tama sya yung s large ay plastic n bakit po ganun dpt po mgic tape din  bkit po ganun,1,0,0,0,Type of tape for large is different.,,,,
26,maganda po sya ganun din ang quality kaso sa size pong 36 which is 34 naman talaga size ko ay hindi parin sya kasya ibebenta ko na lang po siguro sa iba next time po dapat same size talaga kase sayang ang pera kung di naman kakasya,1,0,0,0,Review talking about the product quality but the size do not fit,,,,
27,mukang ok naman yung product yun lang akala ko my remote yun pala wla naka lagay kc sa feature my remote,1,0,0,0,Expecting there's a remote but there's none.,,,,
28,brown ang ganda ng products good job ang bait pang seller at driver thankkk youuu order ako uli,1,0,0,1,Seller and driver are nice and review for product.,,,,
29,complete package namn po sya kaso sira yung charger d gumagana pero ok na din thankyou pa din seller advice lang po na sana sa susunod i double check niyo parin po ang products niyo kung ok ba kung gumagana ba or kung may damage ba to prevent returnrefund sayang,1,0,0,1,The charger is broken so it falls under product issue but also giving advise that seller should check before shipping to prevent return/refund.,,,,
30,ang bangoooo ang gandaaa at ang bango fast delivery dn,1,1,0,0,The review mentions the scent (product) and fast delivery.,,,,
31,the one i ordered was blue pero black ang dumating the umbrella is nice mukang matibay pero syempre iba pa rin ang order ko if the item is not available please make sure you contact your customer first so they have the choice para makapag decide ulit,1,0,0,1,The review reports receiving the wrong color (product) and suggests better communication from the seller (service).,,,,
32,quite disappointed with the colors di siya same sa photos as in big difference and sobrang light basta iba consistency only this color is ok for me,1,0,0,0,Disappointed with color and consistency thus product category.,,,,
33,good quality nice sound once s againthank u so much sa sellergood quality talaga at sa kanya ganda ng sounds niyalove itgod blessed,1,0,0,1,Sound quality is good and thanks the seller.,,,,
34,not satisfied walang spring yung isang item  sana mag function sya ng maayos kahit wala non,1,0,0,0,Expressing product is not functioning.,,,,
35,hays sobrang na disappoint ako sa phone stand ilang beses na akong umorder dito pero binigyan parin ako nang damage na item hindi bha nakita kapag pinapack naalam naman na sita dadalhin pa sa packing hindi ko alam kung trip ba talaga nila o sadyang tamad lang mg check ang,1,0,0,1,Again expressing disappointment and giving feedback about product check and packing,,,,
36,received it with a leak impressed sana since glass yung bottle pero matubig yung pabango very subtle yung amoy parang pabango mixed with water mabango naman very diluted lang talaga,1,0,0,0,Leakage and aroma of perfume thus product related aspect,,,,
37,umay order ko black and white ang dumating all black naka dismaya,1,0,0,0,Incorrect color of item received,thus product,,,
38,ang liliit ng sizes  yung large kasya sa sa xs huhu manipis din tela pero okay na rin y ou get what you paid for,1,0,0,1,Mentioning the sizes are too small and the material but ok with the price.,,,,
39,ok sana kaso may mantsa yung isang tsinelas kahit anong kuskos gawin mo ayaw matanggal dapat sa end pa lang ni seller na quality check na nya yun,1,0,0,1,Stain on one of the slippers (product) and the seller should have done a quality check.,,,,
40,ok thanks po tama ang mga kulay na ipinadala maayos na naka bubble wrap masinop na masinop mabilis din ang ship saktong pambaon sa bag  walang leak dalawa po blue and black pero isa lang po ang freebies sponge stick kala ko yung holder na pang bitbit ang free,1,1,0,0,Right color has been delivered,well packaged and fast ship but thought there will be freebies with free sponge stick.,,,
41,i thought ano laman wireless mouse pala kaya lang napaisip ako kung appropriate ba na ito binigay kasi keyboard na may mouse naman binili ko sana better and mas fun next time,1,0,0,0,Thought it will have wireless mouse,thus product.,,,
42,best feature yung lalagyanan ng airpods akala ko worth ng 1k mahigit yung product pero naging 190 na lang what if 1k talaga to tas gantong quality yung matanggap mo not worth it pero kung pag uusapan naman yung price na 190 i think pwede na rin tong earphones na,1,0,1,0,best feature and price,,,,
43,very nice for rainy as well as sunny season good quality with 10bones anti uv ganda may chip lang yung handle nung blue and may kaunting gasgas yung sa black may butas din sya pala ngayun ko lang napansin inorder ko ng 11 dumating ng 12,1,1,0,0,Good quality with damage to handle and scratch and delivery is on time.,,,,
44,wala yung serum first time ko mag order tapos may kulang na isang item,0,0,0,0,,,,,
45,okay na sna kaso may damage ipapagawa kopa tuloy sana before po iship icheck ng maige thank you,1,0,0,0,Item had damage,,,,
46,order complete at tama lahat ng pinadala ni seller med n disappointed ako sa design ng tapakan kasi faded n sya nag mukha tuloy used pang gift ko pa naman to sa mga inaanak ko pero anyway thank you din at tama mga pinadala maganda sya need lang i check,1,0,0,1,Design of slipper is faded,,,,
47,1 i ordered for gold pero green ung dumating and sana ung pangalan hindi deceiving hnd naman totoong samsung pero ung title ng name ng item samsung generic android tablet lang nman,1,0,0,0,Wrong item and name deception.,,,,
48,good i was a bit disappointed with the product quality unlike sa other shop na same price din pero mas makapal but its okay kasi with the price talagang expect mo na na mababa ang quality madali syang maputol i think kasi manipis lang yung nya,1,0,1,0,disappointed with product quality and price,,,,
49,mukang magtatagal naman yung white maganda yung black lang hindi mapindot hah sana chineck muna o inopen ipadala,1,0,0,1,one product is not working and to check before ship,,,,
50,super nipis pampaganda lang ng wall pero di makapal for protection sa umpog,1,0,0,0,not good for protection,,,,
51,nice ung zipper at ang pag tali,1,0,0,0,just nice,good,,,
52,ok nmn sya  maganda din yong tunog for the meantime,1,0,0,0,sounds good,,,,
53,okay na sana seller kaso bumuka sa baba yung ring light parang naka glue stick lang tyaka pansin ko iba yung design na dumating saakin kaya nahirapan akong i assemble kasi mag babase lang sana ako sa mga review,1,0,0,1,ring light is opening and diff design,,,,
54,okay nmn yung item kasoo hindi gumagana yung remote excited pa nmn akoano bang gagawin para gumanaa yung remote,1,0,0,0,remote is not working,,,,
55,expect that its thin but the glue sticks well and easy naman din to remove and cut,1,0,0,0,just stating item facts,,,,
56,maganda naman po quality nung bottle ibang color ngalang dumating,1,0,0,0,the product is good quality but the color is wrong,,,,
57,maganda naman yong item malakas dinsana magtagal battery kase gagamitin ng anak ko sa skul nilamali lng yong kulay na binigay ni seller kase blue order ko e pink dumatinglalaki kase anak kopero ok lng maganda namn di pala xa nagana pg d nasaksak,1,0,0,0,Item good quality.,,,,
58,ayos nmn ang kulay medium order ko maliit ang size nila parang small eto ung tela n madaling mag himomolmanipiskhr ung jogger maliit ang sizepero salamat p din s seller kc tama nmn lahat at dumatin din lahat,1,0,0,0,color,size and quality,,,
59,maayos na nakarating sa akin yung product and because its 13 pesos only i already expected it was fragile plastic e,1,1,1,0,arrived with no damage,product ok with price,,,
60,good thank you seller maganda at kumportable sootinmaganda syadi sya branded pero ok syaipaatahi monalang para pang matagalan nasalamat sin kay manong rider na lage naghahatid ng mga parcel ko dito sa bahaygod bless you all guysna enjoy kodin kasi may less pa sa voucher ko dito sa shopee,1,0,0,1,thank you and comfortable,,,,
61,thank you sellerrrrrrrrrrrr thank you shopeeeeeeeeeeeeee thank you po sa nag deliverrrr thank youuuuuuuuuuuuuuuuu,0,0,0,1,thank you,,,,
62,pangalawang order q na tomaganda sya kaht d ko pa na try yung una q na na order nag order ako ult kasi sobrang cute nyanakakadsmaya lang kasi sira pala yung una q na orderpro mam seller try nman para ma return at maayos ang problemasana mabalk ang una q,1,0,0,0,the product is good,,,,
63,d sya ngna sa tablet buti nlng mura lng  kaya 3star pdn,1,0,1,0,item is not working but the price is good,,,,
64,the products are good walang sira or anything nakakadisappoint lang na basta na lang final wrap ang ginawa nung seller jusko di man lang nilagyan ng kahit na ano para secured yung products yung nipple cover dumikit na ung parang jelly sa plastik yun lang thank you,1,0,0,1,no secure packing,seller final wrap,,,
65,as we expect di lang masyadong malakas siguro sa battery idk thank you po affordable sya at nagustuhan ng partner ko tnx,1,0,1,0,not too strong,,,,
66,rubber ok naman siya  nagustuhan ko pero kulang sa size po  maliit po pala  kailangan mo mag add size po,1,0,0,0,the size is small,,,,
67,ibandg brand inorder ko pero hnm binigay sana magtagal kasi ang nipis nya,1,0,0,0,not lasting,,,,
68,goods nmm sya akala koden may gift wala pala pero thanks paden sa shop ganda nya,1,0,0,0,no gift. good,,,,
69,good ang ganda daming choices magaganda ung design napansin ko lang compared sa ibang fake nails ko this one is malambot,1,0,0,0,nice design and choices,,,,
70,good ok naman yung fragrance ng perfume mabangi sya sobra  medyo disappointed lang sa packaging kasi may leak sya konti lang naman nabawas dun sa perfume pero makikita mong may leak kasi nag spill na sya sa bottle nung perfume siguro naextime ensure for good packaging esp for perfume,1,0,0,0,ok fragrance and leaking,,,,
71,not good okay ung sound nya ang problema ung mga pinadala na mga charger nya hndi magfit sa knya so useless ung charger nya isa din problema madaling magluwang sa lalagyan ng headphone hndi mo malaman kung nagchacharge ba sya o hindi,1,0,0,0,charger unfit and issue,,,,
72,goods lang it is not long lasting and minsan napapansin ko na nakaka dry ng lips,1,0,0,0,not long lasting and dry,,,,
73,maganda naman ang item nabili ko gumagana kaso lang may crack at nayupi yong filter niya parang inupoana nakapanghinayang lang kasi mahal yong shipping fee tapos ganon ang mangyari dapat seller lagyan mo ng fragile yong itemnaka bubble wrap nga kaso sira parin,1,0,1,1,item cracked seller put fragile.,,,,
74,my items were not complete but package really well and ang ganda din ng product will order again soon sana kumpleto na next time,1,0,0,0,Item not complete,packed really well and good.,,,
75,fast delivery not tried yet sana maganda sira lang yung takip but ok naman yung bottle thanks,1,1,0,0,fast delivery and broken cap,,,,
76,smooth slamat sakto lang sya thnks ky seller till nextmablis ang delivery,0,1,0,1,fast delivery and thanks seller,,,,
77,nakkdismaya d parepareho size may kasya meron nman masikip pero goods nman ung product three star lang,1,0,0,0,size are not the same,,,,
78,okay na rin hindi na nagana yung shutter tas natutumba siya kahit di masyadong mabigat ang cellphone ang hirap niya rin iadjust hays pero ok na rin thank you,1,0,0,0,shutter not working and difficult to adjust,,,,
79,walang laman nadismaya ako first time kong madismaya sa mga orders ko maayos naman ang pagkakabalot siguro yung takip lang talaga siguro ng bottle hindi maayos ang pagkakasara please lang po sa seller paayos po ng sara ng mga takip ng product niyo nang sagayun ei maayos makarating goods po,1,0,0,1,please fixed and adjust the bottle cap of the product to secure well,,,,
80,the item is damage sa pack palang pero it arrived on time as it was expected to arrive on the given address the item arrived in okay condition it is well packed,1,1,0,0,item damage with on time,,,,
81,okay naman for its price super dulas nga lang pag basa i guess okay lang sya for indoor use fast shipping tho,1,1,1,0,dulas pgbasa and fast shipping,,,,
82,tagal dumating ordered 01 14 dumating ng 01 21 tas wala man lang box at wala din clear instructions on parts may maliit na papel na di naman maintindihan di din ganun kaganda bass nya,0,1,0,0,not good bass and late,,,,
83,ok lang naman sya dont expect for nice quality for the price point functioning naman ang item at ang remote,1,0,1,0,working item and price point,,,,
84,i ordered white but i received purple pero walang purple sa choices,1,0,0,0,wrong item,,,,
85,low quality masakit sa tenga akala ko pa naman maganda ung sound pero basag nakaka disappoint kahit music mode or gaming mode basag masakit talaga sa tenga kahit ate ko napangitan din sa sound baka panget lang yung napunta sakin mas ok pa yung earbuds na tig 199 shshshh fr,1,0,0,0,Low quality with sound,,,,
86,ok naman siya kaso di nagchacharge sa charging box kase dapat pag nilagay mo automatic magchacharge yan lol,1,0,0,0,The item does not charge with the charging box,,,,
87,black is okay pero ung cream mukhang cheap manipis din sya check nyo muna ibang stores kung bibili kayo mabilis din maship,1,1,0,0,The material look cheap,it's thin and fast ship,,,
88,good may maliit na scratch very disappointed excited pa naman ako dumating yung order ko sana sa next purchase ko hindi na ganito anyway thank you so much pa din,1,0,0,0,A little scratch and not good,,,,
89,wrong color yung isang socks na binigay instead na blue football orange ang binigay sana naman nag message muna bago nagpalit ng ibang kulay or pang boy o unisex nalang sana ang pinalit,1,0,0,0,wrong color,,,,
90,910 maganda kaso maluwag yung strap nya sakin kaya nag aalangan ako gamitin but still super affordable kaya recommendable pa din,1,0,1,0,the product is good but strap is so loose.,,,,
91,not good baluktot yung parcel hindi ko alam kung bakithindi man lang na secure gumana nman pero baluktot,1,1,0,0,item secure and ok delivery,,,,
92,hindi naman pp gumagana ung charger at keypad pano po yun,1,0,0,0,Item charger not working,,,,
93,okey sana kaso malikulay yung pinadala i order white  pink yung dumating  boy pa naman yung gagamit,1,0,0,0,The product received is pink instead of white,,,,
94,size 37 lang ang paa kokya size 39 ang inoeder kokya lng maliit ung size ni seller kong mejo chubby ang paa mo at malaki ang entrada ng paa mo much better na size40 ang kunin mo,1,0,0,0,Size is not good,,,,
95,ok naman po expected ko naman po kasi,0,0,0,0,no aspect,,,,
96,yupi yung pads what you pay is what you get maganda ang teala yun lang need to change yung pads and hindi sya stretchable maliits yung sizes nila so submit a review and get coins that apply space give hope love,1,0,1,0,Price point,,,,
97,ok naman po narecieve kona po ng maayos at ok nmn ang product,1,1,0,0,ok naman ang product and delivery,,,,
98,subrang ganda ng item wala akong masasabi sa packaging at sa mismong item  goods pa yong presyo  nakakatuwa din kasi nag sesend sila ng proof from packaging pero basag ko sya nang ma receive tapos antagal ko syang inantay nakaka lungkot lang kasi mismong screen nya na yong,1,1,1,0,item good the delivery very late and screen broken,,,,
99,good the product are goodall though i havent trypero seller bakit mali ang isang size sana echeck nmn mabuti bago edeliver or mark if not available  shopeemay mga rough attitude yung driver nyo,1,0,0,1,one size wrong and attitude driver,,,,
100,brief yung inorder peru boxer yung dumating hay naku,1,0,0,0,Wrong item/Product,,,,
101,poor due to poor response  kulang kulang ung items instead n 4 boxes of face mask ang pinalit isang pair ng tsinelas if ubos na yung stock nyo mag notify nmn kayo s mga customer nyo tsinelas n nga ung binili ko tsinelas p ung ipapalit nyo dun s,0,0,0,1,Service related to the seller not notifying the customer about the out-of-stock items.,,,,
102,okay naman yung sound but yung mic is hindi nagana,1,0,0,0,Product aspect due to the microphone not working.,,,,
103,napakaliit ang size nilasize 7 ang paa ko pero nagorder ako size 38 para sure na kakasya ngtanong pa ko sa seller kung ang 37 ay size 7 oo daw kaso napakaliit ng size niyokita nmn sa vdeo na bitin pa sa paa kodapat sinasabihan niyo mga customer niyo ng,1,0,0,1,Product because of the size issue and service because seller gave wrong information about the size.,,,,
104,wrong color i order purple blue pero blue purple ang dumating,0,1,0,0,Delivery since wrong color was received.,,,,
105,di masyado kasi na itry ko sa dry lips ko ok naman pero parang 10 minutes lang nag dadry rin sya,1,0,0,0,Product aspect on how long the product stays.,,,,
106,malakas 1 hour lang ginamit at di na gumana need icharge,1,0,0,0,Product because its not working.,,,,
107,ok merong mga punit punit at andaming yupi yupi kaya nung dinikit ko na sa wall hindi makinis tingnan andami rin tuloy nasayang na part ng sticker,1,0,0,0,Product because it came with holes and dents and wasn't smooth.,,,,
108,got two mouse pads na super laki pareho pa ng design not worth it di rin ako maka anime,1,0,1,0,Product and Price because of design and its worthiness.,,,,
109,hindi nasuot sa graduation but thats fine i just home that they can keep their promises the next time,0,0,0,0,No aspect found.,,,,
110,ok bkit nman gnun 3items ang inorder ko pero dlwa lng ang nareceive ko akala ko nkamura na q ako pla mabubudol ayusin nyu price nyu kung hindi rin masusunod order ng costumer nyu 3 items order ko pero dalawa lng pinadala nyu nkkadala umorder kpag ganto,0,1,1,0,Delivery for incomplete order and price because thought it was affordable.,,,,
111,maganda ang itemmabilis ang shipment i will order again basta matagal masirapero feel ko matibay sya,1,1,0,0,Product because the item is good and feels sturdy and delivery because it was quick.,,,,
112,i ordered a blue transparent one but you gave me a violetgreen hindi ko na lang pinareturn kase nakakaaksaya ng oras hmm okay naman siya though but still 3 stars only because of the color thank you,0,1,0,0,Delivery aspect since wrong color was given.,,,,
113,fine maliit yung size na dumating sakenso di ko din siya magagamit hassle if ibabalik ko pa so lesson learned nalang thankyou though,1,0,0,0,Product aspect because the size delivered was small.,,,,
114,good nice na po sana kaya lang pingkot ung stand nakabubble wrap namn at nakabox pero dahil mura nga lang manipis lang din box nya mabuti di ung ring light ang nabasag kundi aayang ang pera mali n ito ng courier,1,1,1,0,Product because the stand was broken,delivery because the courier was at fault and price because the item was cheap.,,,
115,sira yung mic ng earphone d din magagamit,1,0,0,0,Product because the microphone wasn't working.,,,,
116,hindi kumpleto item  nung una ok sana  di din tama s expectation  nung una lang,1,0,0,0,Product because it's incomplete and did not match the expectation.,,,,
117,saks lang rin ayan check mo kulay sa photo,1,0,0,0,Product because its about the color.,,,,
118,ayaw mu lang mag bigay ng coins ee  maganda na nga ung review ku ayaw mu pa tanggapin anu ba gusto mu  hayst naku  bahala ka jan,0,0,0,1,Service aspect since its about seller's coins.,,,,
119,received the parcelnot really satisfied kase may times sabay may tunog tapos mawawalakabila nalang tapos disconnectconnect sa bluetoothganun ba talaga ungusto ko sana ibalik kaso baka hassle patumutunog naman pero parang kelangan mo xang pakibagayanby the way thanks,1,0,0,0,Product aspect due to the sound and disconnect issue.,,,,
120,lots of dents on the actual product itself makes ice though didnt want to return kasi tagal ako naghintay,1,0,0,0,Product aspect because of the dents on the actual product.,,,,
121,dec29 sobrang tagal ng delivery sa shoppee express kala mu galing china hnd nman,0,1,0,0,Delivery aspect due to the item being very late.,,,,
122,not the same with the picture iniisip ko kung bibili pa ako ng iba hindi ko kinabit yung wallpaper kasi mas light yung color kesa sa picture na inordee ko yung flatener ok,1,0,0,0,Product because it doesn't look the same with the picture.,,,,
123,disappointed wrong color yung isa purple po hindi pink,0,1,0,0,Delivery for receiving the wrong color.,,,,
124,maganda po yung items though medyo manipis its okay kasi comfortable to wear yung isang item lang may sira pala siya ngayon ko lang napansin,1,0,0,0,Product because it is thin,comfortable,and damaged.,,
125,5th  6th buy ung mouse pad worth 39 pesos lang sa shop mismo nila not good not sulit not responsive 5th  6th buy ung mouse pad worth 39 pesos lang sa shop mismo nila not good not sulit not responsive,1,0,1,1,Product because it's not good,price because it's not sulit and service because it's not responsive.,,,
126,ok na sana kaso kinulang ng isa ang order ko wala po ung gunting sana nxt time ayusin naman para walng reklamu ang costumer,0,1,0,0,Delivery for missing item.,,,,
127,maganda siya pero may napansin ako na pangit sa tahi parang natastas pero naremedyohan din naman and good ang pagkakaremedyo di gaano obvious fast delivery kakaorder ko lang nito kahapon,1,1,0,0,Product due to the sewing and how it was fixed and delivery because it was fast.,,,,
128,good quality for its price matagal lang sya dumating though will order again soon,1,1,1,0,Product because of the good quality,delivery because it was late and price because of the price.,,,
129,medj oily for its price i think keri na xia although di talaga niya kaamoy ung cloud pero all in all matamis scent niya and i think long lasting namn,1,0,1,0,Product for scent and how long it lasts and price for the oiliness.,,,,
130,kulang po ung narecieve ko wala ung handle ng sticky roller,0,1,0,0,Delivery for not receiving the handle.,,,,
131,rubber kahapon ko pa to nareceived 0922 at sakto ang dating nya kase aalis kami that day  then sinuot kona agad at un nga now kolang napicturan to review and maganda sya rubber ung design color nya in my experience kase pasmado ako medj madulas sya sa paa at,1,1,0,0,Product for the design,color and slipperiness and delivery for being on time.,,,
132,25 huhuuuu ibang iba amoy nyaaa and sinet ko naman perooo walaaaa pa rin talaganggg umaamoyyy but i brb to the second time that i will use thisss huhuu,1,0,0,0,Product because of the smell.,,,,
133,1st time ko umorder ng mystery package at isang cellphone stand ang natanggap ko i guess nagexpect ako na kahit paano hindi iisang item lang ang marereceive kahit worth man lang ng mystery package anyway sabi naman nila dont expect anything,1,0,0,0,Product becasue only one cellphone stand came.,,,,
134,sobrang gusto ko yung tela super comfy niya kaya lang hindi maayos yung pagkakatahi i just hope next time seller will double check it first,1,0,0,1,Product for the fabric and how comfy it is and service since seller must double check item first.,,,,
135,simple lng di cxa malagkit for simple make upmagnda na cxa for everyday usesorry wla akong pic,1,0,0,0,Product because it's not sticky and it's good for everyday use.,,,,
136,thanks seller recieve kuna sakto lang yung size 38 dapat tlga plus 1 pag nag oorder,1,0,0,1,Product because the size is just right and service because thanks seller.,,,,
137,good pleasepaki check po mabuti ung item kung may damage o wala bago ipadala sa customerbinayaran nman po kayo ng tamadapat in good din ang item,0,0,0,1,Service related because seller should check items for damage before sending.,,,,
138,good but not excellent maganda sya and goods naman may unting flaws lng naramdaman ko may part na magaspang and d may flaws din sa pagpaint sa upper part ng bottle and manipis overall pwede na pra sa prize nya,1,0,1,0,Product for how good and thin it is and price because of the flaws.,,,,
139,what you see is what you get super nice on feet comfy heavy fashionable the downside was very maluwag as you can see sa photo not even adjustable overall good job for fast delivery thank you shopee and lala shoes,1,1,0,0,Product for being nice,comfy,heavy and fashionable,and delivery because it was fast.,
140,maayos po yung blue but yung black po is damage yung sa may tip po nung umbrella ay basag tapos mahirap iopen tapos shaky siya baka madali na rin pong masira yung black,1,0,0,0,Product because of the broken tip,hard to open and shaky.,,,
141,okay na sana kaso maling size po nabigay niyo hindi po tugma sa order ko sana okay na yung next order ko,0,1,0,0,Delivery because wrong size was given.,,,,
142,yung phone mabilis malowbat at walang cgnaltapos ng shop refund nlng daw nila natanggap na nila yung items dli dina nila mabalik yung paymentdpat report 2ng shop nato ng matanggal kasi scammer nagtintinda ng mga fakesabay2 nating ereport 2,1,0,0,1,Product because its fake and drains battery quickly and service because they won't return payment.,,,,
143,beige ang order black ang dumatingwala mn lng inform si seller na hnd pala available,0,1,0,1,Delivery because the wrong item was delivered and service because the seller did not notify that the item was unavailable.,,,,
144,d sya maganda kc maliit ang size d rin sya nag istrech sayang lng dko magamit,1,0,0,0,Product aspect due to size.,,,,
145,sticky pero di sya smudged proof kita naman triny ko sa asawa ko syempre di rin water proof what do you expect sa price nya hehe magagamit parin naman thanks seller and rider,1,0,1,0,Product because its sticky,not smudge-proof,not waterproof and price because it's expected.,,
146,dami q n naorder n bra ok nman pero un deliver ngaun maliit ang isa pareho size 40 order q dumating 34 ang isa maliit,1,1,0,0,Product for the size and Delivery for the size mismatch.,,,,
147,ok naman lahat kaso ang liit naman ng milk storage large naba yung size na yan hndi manlang magkakasya isang pack ng gatas,1,0,0,0,Product aspect regarding to the product.,,,,
148,water literal na parang nag spray ka lang tubig sa mukha hindi rin effective yung glitters glitters di rin mabango huhu di ko bet amoy mas amoy hairspray pa to dun sa butterfly shadow na hairspray huhuhuhuhu,1,0,0,0,Product regarding quality and scent.,,,,
149,rate 4 sa quality kc jbl na brand is d sya tunay na jbl na quality picture at video not related pala nagagamit dn nmn sya ng matagal 23hrs na gamitan kung full volume na pag gamit,1,0,0,0,Product concerning the quality and durability.,,,,
150,cutie sha and ang lakas nng ilaw and fan pero bawal ma charge,1,0,0,0,Product regarding features.,,,,
151,payong naman talaga sya ah protects from the rain and direct exposure to sunlight providing good shade yung yellow not as bright irl pero gusto ko na sya magaan compact at madaling dalhin yung stitches walang loose ends at yung bakal na ribs magaan pero mukhang sharp hindi lightweight alloy,1,0,0,0,Product regarding overall quality and material.,,,,
152,not so good okay honest review to nag expect tlg ako na kakapit ng matagal ung perfume nakailang spray na ako bilis lang maalis ng amoy pero if sa damit mejo naamoy din yung scent niya mejo alcoholish ganon okay lang naman ang scent sa pakaging naman is nagulat ako,1,0,0,0,Product aspect related to the product features,,,,
153,maganda sana kaso maling kulay pinadala tapos d pa ngrereply sellerpede nmn sna magreply kaso wla,0,1,0,1,Delivery and service related to incorrect color and non responsive seller,,,,
154,goods naman po sha kaso lng yung package lng yung prob,0,1,0,0,Delivery aspect related to the package,,,,
155,i commend for your fast delivery service i was excited pa naman nung dumating package ko kaso nung sinukat ko yung jogging pants hindi umabot sa balakang ko man lang napaka sikip pero sinunod ko naman yung nasa description nila sa page,1,1,0,0,Product relating on size and delivery.,,,,
156,good quality kaso rubber pala yung sandals pero its all goods naman maganda rin sya pang porma kaso sa pagdeliver apaka tagal nga lang dumating nag reorder pa ko para magorder ulit now lang dumating,1,1,0,0,Product related to quality material delivery is the delay,,,,
