Review #,Review,product,delivery,price,service,explanation,,,,,,
17,none sira yung on and off button nya natanggal nakaka frustrate kasi kelangan ko pa ayusin kasi nakakahiya namang ibigay na regalo eto para kay mama badtrip,1,0,0,0,The product is broken and the on/off button is detached.,,,,,,
18,next tym check nio itemkung gagana ba or my sirakhit cra papadala nio sa buyer niomkabenta lng,1,0,0,0,The item is broken and the seller should check the item before shipping.,,,,,,
19,only 1 tumbler delivered aksidente ko sigurong napindot ang arder recieved pero guys kung katulad ko na nabudol ng mga seller sabi ng rider wag nyo pipindutin para di nila makuha ang pera lalo na kung cod nag message na ako sa seller pero no respond di manlang ni siseen,0,0,0,1,The seller is unresponsive and did not respond to the review.,,,,,,
20,grabe ordered one variation nga eh para walang problema dba ganda sana tignan for my bedroom what the hell the wall ended in different colors lyt and dark pahamak walang kwenta kaka dismaya just ruined my plans so pano to order ulit ganun wag na kau mag benta kung ganun,1,0,0,0,The wall has different colors.,,,,,,
21,scam scam na shop we order a water bottle pero ang dineliver na item is bag nag request kame ng refund and ibabalik yung item sa courier pero walang dumating hindi naibalik yung money namen and super disappointed sa shop na toh will never recommend this shop please dont buy,1,0,0,1,The shop is a scam and delivered the wrong item. They also didn't refund the review.,,,,,,
22,bad myghaddd i ordered 3 kinds of earphones lahat yun sira yung kabilang side sayang ng pera ko i highly suggest to buy original na lang talaga or find a good quality somewhere else,1,0,1,0,The earphones are broken and the review lost money.,,,,,,
23,price is not work for the quality parang kaya siya mahal dahil lang sa portable siya but the quality and durability kahit sunny days mo lang siya gagamitin hindi tatagal manipis ung telaeven the bakal used,1,0,1,0,The price is not worth the quality and the fabric is thin.,,,,,,
24,sobrang manipis order ko xxl large un pinadala at sobrang manipis pa,1,0,0,0,The product is too thin,and the reviewer ordered xxl,but large was sent.,,,,
25,may basag ng konti hindi kasi safe yung box kaya siguro nadaganan anyway mabilis ang delivery thank you seller,1,1,0,0,The product is broken because the box is not safe and the review's delivery is fast.,,,,,,
26,bakit po maluwag yung cover nya madaling mabuksan nagkaroon na po ksi ako ng ganun ding klase pero mahigpit yung cover kaya kpg bumagsak sarado pa rin at protektado yung earbuds madaling malowbat khit na matagal na charge di man lang umabot ng maghapon khit di ginagamit nalolowbat poor quality,1,0,0,0,The product cover is loose and easy to open,and it also runs out of battery easily.,,,,,
27,broken umbrella sira yung black umbrella good yung maroon naka sealed pa yung jt plasticpagbukas sira yung isanakakalungkot namanseller mapapalitan po ba yung isang sira,1,0,0,1,The product is broken,and the review is asking if the seller can replace the item.,,,,,
28,isa gamit sira agad hindi worth it,1,0,1,0,The product broke immediately,so it's not worth the price.,,,,,
29,madaling ma low batt madaling ma low batt di gumagana ung isang earbuds bagsak sa quality,1,0,0,0,The product runs out of battery easily,one earbud doesn't work and the quality is bad.,,,,,
30,bad the pair was cheap but i didnt expect super low quality kahit mura still not worth it sayang pera,1,0,1,0,The product is cheap,but the quality is low,so it's not worth the price.,,,,
31,leggings naman ata pinadala sakin hindi pajama ang liit pa ng size kasya lang sa bata jusmiyo maganda sana ang tela dapat may choices din ng sizes seller para malaman nyo kung kakasya ba sa oorder ang ipapadala nyo very disappointed,1,0,0,0,The product is the wrong item,and the size is too small.,,,,,
32,mali po yung npdlablack po order ko blue ping dumating at ang screen nya black and white hindi po colored gaya nang sa pic na nakdisplay,1,0,0,0,The product is the wrong item and the product screen is black and white.,,,,,,
33,hindi man lang talaga nilagyan ng bubble wrap binalot lang ng plastic of course masira talagasira po nakarating sa akin baliktad na po ang salamin,1,1,0,0,The mirror arrived broken and it's not wrapped in bubble wrap.,,,,,,
34,jan 31 ko narecieved ngayon ko lang na rate feb 5 umasang mag tatake in action c seller peru di marunong pumindot ng chat section nag rereplace ng items ng walang paalam kulang2x pa 10 pcs push up bra wala sayang,0,0,0,1,The seller did not take action,and they replace the review's item without informing them,and it's also incomplete.,,,,
35,pangit sya kaya pala mura putol putol 10pcs daw taus green and light violet order ko mali pa pinadala,1,0,1,0,The product is ugly and cheap,and the seller also sent the wrong item.,,,,,
36,hindi na xa d same color sa first order q pangit na ang pagka light green nya at parang hindi na xa maxado madikit,1,0,0,0,The product is the wrong color and it's not sticky enough.,,,,,,
37,what you see is not what you get kaya pala mura kasi mumurahing klase rin ang dumating hindi katulad ng quality sa pictures nila,1,0,1,0,What the review see is not what they get and the product is cheap.,,,,,,
38,not good motivational tumbler order ko tpos 2l un tpos dumating ang layp don sa order ko tpos 1000l lng nkaka disappointed excited pa nmn akodina ako oorder dito,1,0,0,0,The review ordered a 2l tumbler but received 1000l,which is disappointing.,,,,,
39,wag na kayo umorder ng mystery pouch bilhin nyo na lang sa shop nila yung mismong item na gusto nyo makakamura pa kayo,1,0,1,0,The review can buy the product at the shop.,,,,,,
40,the unit is defective maingay yung fan parang may sira sa loob nag sha shake yung buong unit raised my concern sa seller pero di daw pwede palitan akala ko pa naman okay siya kasi shopee mall,1,0,0,1,The unit is defective and the seller won't replace it.,,,,,,
41,masakit at natuklap balat sakong ko nang isinuot maayos packaging needs bandaid to wear,1,0,0,0,The product hurt and peeled the reviewer's skin.,,,,,,
42,oily sobrang tapang and then hindi sya kaamoy ng tunay na arianna grande cloud perfume if youre plan to buying this product mag dagdag na kayo original na bilhin nyo kesa dito,1,0,0,0,The product is oily and doesn't smell like the original perfume.,,,,,,
43,blackblue at grey order ko pero tatlong white ang binigay saakin nagchat naman ako kay seller pero hindi na magreplybago kayo mag order dito mag isip muna kayo kasi hindi responsive si seller tapos nagbibigay siya ng maling itemibabalik ko pa sana kaso malaking abala na saakin,0,0,0,1,The seller sent the wrong item and they're unresponsive.,,,,,,
44,rip off tangina ampangit gago ahahhahhah pero what can u expect for 75 pesos,1,0,1,0,The product is ugly,but it's cheap.,,,,,
45,huwag na kayong bumili sayang lang yung pera try another seller huwag dito am panget,1,0,1,0,The product is ugly and a waste of money.,,,,,,
46,nkkadisappoint kc dami q order pangtinda rin pero ang liit ng size nila ang large ung iba small size pinadala,1,0,0,0,The reviewer ordered many items for their store,but the sizes are too small and some large sizes are small size.,,,,,
47,kaya ko to binili para sa lola ko kase ganto dati cp nya samsung pero bakit iba iba ung home screen iba ung menu wala pang wallpaper hindi tuloy alam ng lola ko pano gagamitin  iba ung nakuha ko kesa dun sa mga nakita ko sa reviews nakakadisappoint lang,1,0,0,0,The product is different and the reviewer's grandmother doesn't know how to use it.,,,,,,
48,not good sobrang disappointed ako ng ma received ko ang items na order ko bakit namn po ganito pag open ko po sakanya aii sira na ang unany layer ng pang blush on nya  kaya po palan pag open ko ehh ang daming tapon nya sa box nya,1,0,0,0,The product is broken and the first layer of blush on is broken.,,,,,,
49,not good d tumitigas ung nail folish fake xa mantsa pa sa kuko,1,0,0,0,The nail polish is fake,and it stains the nails.,,,,,
50,ok mystery pouch ndi aq na excite ndi na sya mystery kc items agad nkta q yun inpods 12 yun left side ndi nagana ndi nag ccharge intelligence health braceler hinding hindi nagana the rest ok working,1,0,0,0,The left side of the Inpods 12 doesn't work and the health bracelet doesn't work.,,,,,,
51,lacking items wala yung wipes imbes na yun ang importante sa order ko yun pa ang wala,1,0,0,0,The item is lacking wipes.,,,,,,
52,i ordered pink pero white binigay nyo sana nagsabi kayo,0,0,0,1,The seller sent the wrong item.,,,,,,
53,wag na po kau bili dito na shopka muntikan p kmi msunugan dhl sa grounded n productso disappointing,1,0,0,0,The product is grounded.,,,,,,
54,sayang pera dhil ganun nga pag na ideliver sayo expect mo na masisira un at nd irerefund ni seller swertehan na lang na makakarating sayo ng ayos yung neckfan kaya think before you check out,1,0,1,1,The neckfan can be broken and the seller will not refund it.,,,,,,
55,first gamit pa lng madali agad malowbat hindi naman xa palaging ginagamit kasi pang retail loading ko lng xa pero ilang oras lng dapat na naman icharge not good when it comes to quality,1,0,0,0,The product runs out of battery easily.,,,,,,
56,nakakadis appoint ang sellerlarge order ko binigay sakin xxlhndi man lang dinobol check bago binalut o baka naman sinadya nyo lang para maubos ang xxl neobinalik ko ang item pero until now wala pang refundmura nga sa inyo mapapamura ka naman sa wrong item na ibibigaykata 1 star lang rate,0,0,0,1,The seller gave the wrong item which is XXL and they didn't refund it.,,,,,,
57,out of 10 ang score 3 lngfake na inspi kaasarwag lau bumili fake ung inspi nila,1,0,0,0,The product is fake.,,,,,,
58,unresponsive seller i wouldnt recommend buying this product ang pangit low quality masya unresponsive pa ang seller im unable to return it kasi walang malapit na jnt,1,0,0,1,The seller is unresponsive.,,,,,,
59,2 binili ko 1 lang dumating  tas pahirapan irefund d din ng rereply seller,0,0,0,1,The seller did not reply to the review's refund.,,,,,,
60,poor quality poor quality kasi compared sa color mint green masyadong naka angat ung takip ng red bottle causing na mag leak ung tubigsana na check muna ng seller bago pinadala,1,0,0,0,The product is poor quality and the cover of the red bottle is too high,which causes it to leak.,,,,,
61,ok dalawa nalang po order ko nag wrong size pa kyo sana po same xl nlang kahit sana ibang color,0,0,0,1,The seller sent the wrong item and they're asking that their item should be same xl.,,,,,,
62,deffective total waste of money 2days lang gumana tapos sira na kaagad nung una ambilis magrespond ni seller nung diko pa naorder receive pagka receive ng item maluwag propeller the after 2days totally dina sya gumana pati seller hindi narin nagrereply,1,0,1,1,The product is defective and only worked for 2 days. The seller also did not respond.,,,,,,
63,meron po tastas ang tahi sa laylayan,1,0,0,0,The stitch is broken on the hem.,,,,,,
64,maliit ung xxl nyo sayang ung short hm nilagay nyo eh nike ung inorder ko mali pa ng kulay hayst nipis ng shorts,1,0,0,0,The product size is small and the color is also wrong. The shorts are also thin.,,,,,,
65,poor bakit po ganito ang mouse nio may sariling buhay gumagalaw mag isa hirap gamitin tuloy,1,0,0,0,The mouse is hard to use because it moves on its own.,,,,,,
66,poor seller sent me defective item bigla nalang nagbablack screen i tried to get help from seller but nothings change and wala naitulong di man lang palitan yung item hindi magamit kasi nawawala ung display tapos 2 to 3hrs lang lowbat kagad,1,0,0,1,The seller sent a defective item and didn't help the review. The screen turns black and it runs out of battery quickly.,,,,,,
67,mahina at di gumagana ang volume button,1,0,0,0,The volume button doesn't work.,,,,,,
68,wag na wag kayo oorder dito mali mali size ung pinadala sa akin sa iba na lang kayo omorder bahalang seller to basta kumita ng pera,0,0,0,1,The seller sent the wrong sizes.,,,,,,
69,red ung order q itim nmn pinadala ng seller d mnlng ng inform nkkasura,0,0,0,1,The seller sent the wrong color and didn't inform the review.,,,,,,
70,10meters wallpaperhindi sigurohalos 5meters lang sya sobrang nipismabilis mawala ang dikit not recommended this wall paper waste of money,1,0,1,0,The wallpaper is only almost 5 meters and it's very thin.,,,,,,
71,sira po ung stand kaya dinikit ko na lng sa wall ko ung ting light sayang lng ang money ko akala ko nakatipid na ako sana nextime po paki check bago nyo ibigay sa buyer,1,0,1,0,The stand is broken and the seller should check before sending it to the review.,,,,,,
72,hindi katulad nung una kong nabili hindi sya magic lipbalm para lang syang lipstick na nilagay sa loob then yung pink hindi sya color white yung nasa loob color pink literal mura sya kasi para syang fake,1,0,1,0,The product is not magic lipbalm and it's cheap because it's fake.,,,,,,
73,ok sya para sakin sana yung next order ok din 5stars,0,0,0,0,Nothing is wrong with the order,so there's no aspect found.,,,,,
74,i bought 3 earphones ni isa hindi man lang nagana yung mic i tried to the other devices and still hindi parin nagana,1,0,0,0,None of the earphones mic works.,,,,,,
75,hindi maayos mabait si manong rider pero ung product parang mapipigtas agad pag sinuot mo though mura lang siya pero bkt parang gamit na din ung sandal,1,0,0,0,The product is easy to break and it looks used.,,,,,,
76,honest review sa scent na ito hindi siya mabango,1,0,0,0,The product is not fragrant.,,,,,,
77,ngaun lang ako nag rate kasi sinubokan ko muna sya kung madikit talaga kasi nakaka disappoint at di sya madikit wala pang isang linggo nag tatangalan na haysss kulang pa talaga ng isa ung white nakakainis,1,0,0,0,The product is not sticky enough.,,,,,,
78,naka post 10 meters sinukat ko 55meters lang parang na scam yata ako d tuloy nag kasya  sana naging honest tayo sa post,1,0,0,0,The product is only 55meters.,,,,,,
79,bwesit  i received very wrong item  square pants ba tonagbayad ako ng sakto pero look binigyan nio ako ng maling itemikaw seller ayaw pag dinanghag paano ko to ibibinta d naman ito ung order ko tangina bwesit,0,0,0,1,The seller sent the wrong item.,,,,,,
80,nakakagalit paano naman ito magagamit sa pagoonline selling kung sirahindi pa nakakalayo si kuya jelmar na nagdelivertinawagan na agad namin sya kasi inopen agad pagkadeliver nyasabi nya kay seller daw sabihinayaw palitan ni seller sayang ang ibinayad konagbayad ako ng ayos,1,0,0,1,The product is broken and the seller doesn't want to replace it.,,,,,,
81,very dissapointed ako sa nabili ko bukod sa hindi na nga pareho ang kulay na dumating yung iba dirty white yung iba sobrang white naman dipa pati masyadong madikit natatangal siya i feel like rejects yung napunta sakin yung pagka wrap hindi maganda daming nasisira sa edges ng bricks tsssk,1,0,0,0,The product is dirty,it doesn't stick very well,and the wrap is not good.,,,,
82,010 kulang ng parts yung dumating samin wala yung cellphone holder hose so pano gagamitin itape namin para malagay yung phone minessage ko yung shop magsend daw ako ng unwrapping vid eh nabuksan ko na sabi follow up daw hanggang ngayon wlang reply worst customer service ever,0,0,0,1,The product is lacking parts and the seller is unresponsive.,,,,,,
83,hindi white ang sa taas ang liit pawhite highlighter order ko,1,0,0,0,The product is not white and it's small.,,,,,,
84,not what ive expected madumi yung item pag dapint parang gamit na,1,0,0,0,The product is dirty and it looks like it's used.,,,,,,
85,maganda naman kaso d kasya pang apatan lang pala yung paa nea so ginawan nlng ni papa ng paraan nag cut nlng sya ulitsaka tupi tupi pad maayos first time ko nakatanggap ng gnito,1,0,0,0,The product doesn't fit the reviewer's feet and it's folded properly.,,,,,,
86,ang ganda lahat ng items pero ito talaga ang pnaka gusto ko dahil bagay na bagay sya sakin kaso lang parang ang dumi nia tingnan sad to say seller wasnt able to double check this one sulit din naman sa price nya pero sana next time yung hindi factory defect,1,0,1,0,The product is factory defect and it's dirty.,,,,,,
87,ang panget hindi nmn magic lipstic,1,0,0,0,The product is not magic lipstick.,,,,,,
88,mukang ok nmn ung item kaso nung tinry ko di mkapag download ng netflix sa play store un pa nmn sana ang purpose sa pag orderkahit shareit ayaw pa din not compatible dw sayang lng pera,1,0,1,0,The product can't download Netflix and Shareit.,,,,,,
89,nasira agad wala pa 1 month it was used in care pero nasira padin agad bgla nlng namtay then i charged it for hours pero sobrang hina na ng hangin parang hinihipan ka lang ng sobrang hina,1,0,0,0,The product broke immediately and the wind is weak.,,,,,,
90,bat naman po ganon sira po yung neck fan sa left side tampered pa yung boxes pagka dating sobrang sayang naman kasi ipa pang regalo ko sana,1,0,0,0,The product is broken on the left side and the boxes are tampered with.,,,,,,
91,hindi maganda yung cp na narecieve nung buksan ko siya ginagamit ko siya pero nang nglowbat siya d ngpacharge saka do run ngpaopen na,1,0,0,0,The product is not good,and it can't charge and it won't open.,,,,,
92,maganda naman pero may mga dumi ar scartches at parang luma,1,0,0,0,The product is dirty and it has scratches,it also looks old.,,,,,
93,edit ko ratings kohindi ko alam kung pabango ba to o alcohol ngyon ko lng nagamit wala man lng kaamoy amoy hndi amoy bombshell amoy alcohol ayusin nyo seller nssyang pera nmen,1,0,1,0,The product is not fragrant,it smells like alcohol and it's a waste of money.,,,,,
94,matagal ko na to natangap almost 2weeks ago na ata untill now di parin nagana ung remote bumili pa ko ng battery na mas mahal pa sa inorder kong led sana bago nyo iship paki check muna kung ok para di kayo masira salamat,1,0,0,0,The remote is not working and the seller should check before shipping.,,,,,,
95,mali yung size na binigay medium order ko pero large dumatingpero nandito na eh gagawan ko na lang ng paraannext time paayos po nung idedeliver nyo po na size hehe,0,1,0,0,The seller sent the wrong size.,,,,,,
96,pangit pangitsayang lang peraparang ginamit nahindi man lang naawa ang sellerbinigyan pa ako nang ganitoang tagal pa ng shippingnovember 25 date of orderdecember 6 na dumating,1,1,1,0,The seller is not merciful and the product looks used. The shipping is also too slow and it's a waste of money.,,,,,,
97,good maganda sya thanku po,1,0,0,0,The product is good.,,,,,,
98,ndi pla maasahan ang shoopee sa mga order disappointed mo talaga ako sa dnala nio ndiktulad ng sample n in order ko nung una dati isang pirado lng ok pero ngaun di aya nio lng kmi npaka pngit ng dinala nio,1,0,0,0,The product is not like the sample,and it's ugly.,,,,,
99,umay napakadaling malobat sayang pera nyo dto d man lang matagal ng 20mnts sarap i sakal sa seller  buyset,1,0,1,0,The product runs out of battery easily,and it's a waste of money.,,,,,
100,durog yung box and the mouse is not working sad,1,0,0,0,The box is crushed,and the mouse is not working.,,,,,
101,double mousepad okay naman sana kaso mo bumili na nga ako ng mousepad sa inyo specific tama ba naman na ang ee mistery nyo sakin mousepad din common sense naman sana okay lang kung magkahiwalay package isipin ko pang na random kaso same plastic lang eh meaning sadyaan 1 customer,1,0,0,0,The mystery item is also a mousepad.,,,,,,
102,mali kulay nude inorder ko pink dumating color blind ba kayo dyan,0,0,0,1,The seller sent the wrong color.,,,,,,
103,poor ok n sanapero nd gmagana ung head set at ung mic3 p nman inorder ko,1,0,0,0,The headset and the mic are not working.,,,,,,
104,sira sira mga items dto wag kau bibili dto sabi ni seller bago daw ehh mga luma binigay saakin na items,1,0,0,0,The items are broken and the seller said they're new,but they're old.,,,,,
105,kulay black ang inorder bakit pink ang pinadala what the h tagal pa ng shipout tapos ang ending mali pa ang binigay malayo naman ang pink sa black ah paki ayos seller check muna ng order ni client bago e ipadala nakakaloka,0,1,0,1,The seller sent the wrong item and the shipout is too slow.,,,,,,
106,pwede po ba itong palitan kasi mali ang color na ibigay nyo po i ordered light grey but i got dark grey after  i message they said the changed their color variant and the light became dark or unavailable lang please dont post you made some changes to avoid,0,0,0,1,The seller sent the wrong color and they made changes to avoid.,,,,,,
107,i received the item okay  nag o on naman sya but it cant proceed outgoing call and even text messages i tried to tell the seller but they just keep on sending me the completed product link,1,0,0,1,The product can't proceed outgoing calls and text messages.,,,,,,
108,w wrong size received instead of size 29 28 ang pinadala sana man lng size 30 n lng pinadala kung hindi available,0,0,0,0,The wrong size was received.,,,,,,
109,sira ulo shoppe na ito omoorder ako 10 pcs  nakagay bawat order 10 pcs  dumating skn 45 pcs instead of 100pcs mga scammer  no to order again  sayang kayo oorder pa naman ulit ako para sa kwarto ko  kaya big no na,0,0,0,1,The seller is a scammer.,,,,,,
110,i am disappointed in todays parcel 2nd order ko na po ito and the 1st order fits me well and i loved it that why i ordered again but i was disappointed pls see pic malaki may sira yung isa tapos iba yung size sa inorder ko at sa dumating,1,0,0,0,The product is damaged and it's a different size than what the review ordered.,,,,,,
111,okay nman to 3 colors ung light di ko lng alam kung tama ung pagkakabit ko kse wala man lang manual or what so nakadepende lang sa itsura ng pic sa box,1,0,0,0,There is no manual.,,,,,,
112,hindi po ako natuwa sa na order ko sabi niyo 10 meters 5 meters lang yung dumating,1,0,0,0,The product is only 5 meters.,,,,,,
113,look great salamat seller dahil nasunod lahat ng variation na gusto ko kudos sayo will order again keep up the good work,0,0,0,0,The seller followed all of the variations.,,,,,,
114,grabr ndi nag rereply ang seller palpak ang deliver sinhimgalinh kaundi lasya sakin dumating size 6order ko suze 38 grabe ang tagal ki inantay rapos ganito lang sya,0,1,0,1,The seller doesn't reply and they deliver the wrong size.,,,,,,
115,akala ko pwede icharge to de battery pla saka d gumagana ng ayos ung mga keys minsan nagana minsan ndi ok na rin pagtyagaan thankyou,1,0,0,0,The product uses battery and the keys don't work well.,,,,,,
116,sabi ko pang newborn e pang 1 yr old na to e,1,0,0,0,The product is for 1 year old.,,,,,,
117,1 star lang ibibigay akala ko di mapapasuukan ng hangin kaya sinabing gas saving yun pala hindi makakapasok prin pala kasi di swak ung butas s burner,1,0,0,0,The product is not gas saving.,,,,,,
118,plum order red dumating pag tinanggal sa lips walang naiiwan na color,1,0,0,0,The plum is wrong and it doesn't leave color after removing.,,,,,,
119,not recommend this shop  mali mali pinadala nila i return ko nalang daw kapag daw na receive na nila item tsaka daw ma refund item  ang galing  sobrang abala nyo,0,0,0,1,The seller sent the wrong item and they need to return the item first before they're refunded.,,,,,,
120,810 ok na man sya walang sira o kahit anong damage pero ang problem lng ang bilis nya lowbat walang pang one hour lowbat na,1,0,0,0,The product runs out of battery quickly.,,,,,,
121,di ko nagustuhan maganda but ang bilis malobat like kakacharge kolang last night then paggising ko nalobat agad,1,0,0,0,The product runs out of battery quickly.,,,,,,
122,size 40 order ko pinadala nyo size 39 ayan sa picture kita na burado ang size malabo mkita na 39 pero sa personal makita at halata pa din na size 39 ang binigay nyo ayaw nyo ireturn and refund fine iblock at report ko shop nyo sa halagang 197 pesos,0,0,0,1,The seller sent the wrong item.,,,,,,
123,3 same color mabagal ang response ng seller inabot pa ng 2days bago ma repack ang order q tapos ang dadating na mga kulay iba sa naka advertise nila dalawa sa dumating na order q hindi maganda fitting sa hita hindi stretchablepinaka masama pa tatlo dito same color,1,0,0,0,The colors are different,it's not good fitting,it's not stretchable,and 3 are same color.,,,
124,nong dumating saakin gumagana sya pero di gumagana yong remote then sinubukan naming ayusin yong remote but in the end yong sa may mismong wirings sa may puti na pinag connectan ng mga wires may isang natanggal buti nalang magaling mag inang yong asawa ko gumana naman na yong remote,1,0,0,0,The remote is not working,but it was fixed by the review's husband.,,,,,
125,ang linaw ng messages ko at note ko na 3xl order ko pero pinadala nyo pa rin 2xl di ko tuluy kasya,0,0,0,1,The seller sent the wrong item.,,,,,,
126,kung meron lang sana 0 star 0 talaga ibibigay ko i received damaged item baliko yung wire and im very disappointed the seller will not give u a refund and its just a waste of money dont try to order from this shop coz sayang lang pera mo,1,0,1,1,The product is damaged and the seller will not refund it.,,,,,,
127,30 lng dapat ang babayaran kopero 80 ang siningil sa akin n deliveryakala q kc 2 item na un kya ng bayad ako tiwala kc ako ehshopee xpress delivery,0,1,1,0,The delivery fee is expensive.,,,,,,
128,nde na maganda yng quality naun kesa sa nabili ko dto dati ang panget ng pagka tahi nde pulido nde pa pantay yng tahi sa garter sa laylayan as in pang pajama na lng at marites mode sa labas ng bhay nyo nde na pede ipang gala tulad ng nabili,1,0,0,0,The sewing is not good and uneven.,,,,,,
129,super dali ma lowbat and super sensitive na didisconnect agad,1,0,0,0,The product runs out of battery easily and it disconnects easily.,,,,,,
130,isa o dalwang beses lng sya gumana sayang money ans sayng ung oil ksw d man lang nag 34 ung nabawas ksw ayaw na agad gumana,1,0,1,0,The product only worked 1 to 2 times and it's a waste of money.,,,,,,
131,maganda sya pero nde nagana sa callvideocallgaming mic etc,1,0,0,0,The mic is not working.,,,,,,
132,lahat ng box dented sana naka box sila lahat para maavoid ung pagkasira or maglagay ng fragile i ordered 1 pc pig and the rest assorted pero ung chinat mo lahat pigs ang design i even asked why same lahat but no reply from seller,1,0,0,1,dented box,,,,,,
133,maganda xa kung sa maganda kaya lang na dismaya tlga aq kc ung enexpect ko na magagamit ko kahit walang kuryente hindi dn pala need pa dn nkacharge para magamit mo sana kung ano ung inorder un ung ibigay kc nagbabayad kmi ng tama,1,0,0,0,battery operated but you still need to charge before using,,,,,,
134,right color ordered the actual quality sandals is a bit diffrent from the sandals they use for promotion the right size was not delivered i ordered 39 you sent 40 its for my wifes birthday sana pero hindi na nya masusuot dahil malaki sa paa nya,1,1,0,0,different quality and wrong size,,,,,,
135,sakto lang still hindi pa din nila inaayos pano hindi mag tapon yung pagka oil base sa dami ng nag coment dto na nttapon yung pagka oil base nya hindi pa din nila inaayos package and den yung shipment late na dapt 0310 receive 0311 na dumating mabango naman ok,1,1,0,0,oil base spills and late shipment,,,,,,
136,cute siya onting dents but its not that obvious works good at first kaso nga lang nung na lowbat it didnt worked anymore kahit na icharge namin nang matagal or so so apparently mirror nalang siya wala nang light and fan,1,0,0,0,dents and not working,,,,,,
137,di nagamit matagal dumatimg tas defective pa ang item ayaw din mag refund ng seller pag nag chat ka na ayaw gumana ng isang side mag sesend lang ng instruction kahit naman sundin mo yung instructuin kung defective di talaga gagana,1,1,0,1,did not worked,,,,,,
138,iba yung itsura nya sa personal size 2829 yung size na na order ko pero maliit ang size,1,0,0,0,different quality and size,,,,,,
139,manipis n klase ng rubber tpos dpa accurate mga sizes dko xa mai rereccomend,1,0,0,0,thin and size,,,,,,
140,0000 hindi kayo marunong sumunod sa kong ano ang order sa inyomaling items na nga ang binigay niyo may damage pa sa ilalim yong 2000ml order ko yong dumating 1100ml sana sa susunod wag ganyan lalo na at pa order ko yan,1,0,0,0,damage and wrong item,,,,,,
141,order ko color yellow dumating red nakakadismga lang,0,1,0,0,wrong color,,,,,,
