Review #,Review,Explicit,Implicit
10,excited ako sa order ko kasi matagal ko na gusto bumili ng mga mystery item so dahil 66 weve decided to order 5 mystery pouch expect ko 5 packs ang makukuha ko akala ko may sari sariling balot yun pala 5 products na sya sa iisang pouch,"'excited' (O - ), 'ako' (O - ), 'sa' (O - ), 'order' (O - ), 'ko' (O - ), 'kasi' (O - ), 'matagal' (O - ), 'ko' (O - ), 'na' (O - ), 'gusto' (O - ), 'bumili' (O - ), 'ng' (O - ), 'mga' (O - ), 'mystery' (O - ), 'item' (O - ), 'so' (O - ), 'dahil' (O - ), '66' (O - ), 'weve' (O - ), 'decided' (O - ), 'to' (O - ), 'order' (O - ), '5' (O - ), 'mystery' (O - ), 'pouch' (O - ), 'expect' (O - ), 'ko' (O - ), '5' (O - ), 'packs' (O - ), 'ang' (O - ), 'makukuha' (O - ), 'ko' (O - ), 'akala' (O - ), 'ko' (O - ), 'may' (O - ), 'sari' (O - ), 'sariling' (O - ), 'balot' (O - ), 'yun' (O - ), 'pala' (O - ), '5' (O - ), 'products' (O - ), 'na' (O - ), 'sya' (O - ), 'sa' (O - ), 'iisang' (O - ), 'pouch' (O - )","'akala' (PRO#COND), 'ko' (PRO#COND), 'may' (PRO#COND), 'sari' (PRO#COND), 'sariling' (PRO#COND), 'balot' (PRO#COND), 'yun' (PRO#COND), 'pala' (PRO#COND), '5' (PRO#COND), 'products' (PRO#COND), 'na' (PRO#COND), 'sya' (PRO#COND), 'sa' (PRO#COND), 'iisang' (PRO#COND), 'pouch' (PRO#COND)"
11,wrong color po yung dumating tapos yung green natanggal yung cover niya,"'wrong' (B - DEL#CORR), 'color' (I - DEL#CORR), 'po' (I - DEL#CORR), 'yung' (I - DEL#CORR), 'dumating' (I - DEL#CORR), 'tapos' (O - ), 'yung' (O - ), 'green' (O - ), 'natanggal' (O - ), 'yung' (O - ), 'cover' (O - ), 'niya' (O - )","'yung' (PRO#COND), 'green' (PRO#COND), 'natanggal' (PRO#COND), 'yung' (PRO#COND), 'cover' (PRO#COND)"
12,510 ang mahal ng payong nd nmn ganun ka quality sira pa sabi ko seller if ayaw bilik pera ko change items nd na nag reply,"'510' (O - ), 'ang' (B - PRI#AFF), 'mahal' (I - PRI#AFF), 'ng' (I - PRI#AFF), 'payong' (I - PRI#AFF), 'nd' (O - ), 'nmn' (O - ), 'ganun' (O - ), 'ka' (O - ), 'quality' (O - ), 'sira' (O - ), 'pa' (O - ), 'sabi' (B - SER#RES), 'ko' (I - SER#RES), 'seller' (I - SER#RES), 'if' (I - SER#RES), 'ayaw' (I - SER#RES), 'bilik' (I - SER#RES), 'pera' (I - SER#RES), 'ko' (I - SER#RES), 'change' (I - SER#RES), 'items' (I - SER#RES), 'nd' (I - SER#RES), 'na' (I - SER#HAND), 'nag' (I - SER#HAND), 'reply' (I - SER#HAND)","'nd' (PRO#GEN), 'nmn' (PRO#GEN), 'ganun' (PRO#GEN), 'ka' (PRO#GEN), 'quality' (PRO#GEN), 'sira' (PRO#COND)"
13,close to ok lang i contacted the seller and they admitted that they intentionaly sent the wrong color without informing me the problem is i ordered it as gift for a man so purple is not really ok and both bottles have scratches doesnt look new for me,"'close' (O - ), 'to' (O - ), 'ok' (O - ), 'lang' (O - ), 'i' (B - SER#TRU), 'contacted' (I - SER#TRU), 'the' (I - SER#TRU), 'seller' (I - SER#TRU), 'and' (I - SER#TRU), 'they' (I - SER#TRU), 'admitted' (I - SER#TRU), 'that' (I - SER#TRU), 'they' (I - SER#TRU), 'intentionaly' (I - SER#TRU), 'sent' (I - SER#TRU), 'the' (I - SER#TRU), 'wrong' (I - SER#TRU), 'color' (I - SER#TRU), 'without' (I - SER#TRU), 'informing' (I - SER#TRU), 'me' (I - SER#TRU), 'the' (O - ), 'problem' (O - ), 'is' (O - ), 'i' (O - ), 'ordered' (O - ), 'it' (O - ), 'as' (O - ), 'gift' (O - ), 'for' (O - ), 'a' (O - ), 'man' (O - ), 'so' (O - ), 'purple' (O - ), 'is' (O - ), 'not' (O - ), 'really' (O - ), 'ok' (O - ), 'and' (O - ), 'both' (B - PRO#COND), 'bottles' (I - PRO#COND), 'have' (I - PRO#COND), 'scratches' (I - PRO#COND), 'doesnt' (O - ), 'look' (O - ), 'new' (O - ), 'for' (O - ), 'me' (O - )","'i' (DEL#CORR), 'ordered' (DEL#CORR), 'it' (DEL#CORR), 'as' (DEL#CORR), 'gift' (DEL#CORR), 'for' (DEL#CORR), 'a' (DEL#CORR), 'man' (DEL#CORR), 'so' (DEL#CORR), 'purple' (DEL#CORR), 'is' (DEL#CORR), 'not' (DEL#CORR), 'really' (DEL#CORR), 'ok' (DEL#CORR), 'doesnt' (PRO#GEN), 'look' (PRO#GEN), 'new' (PRO#GEN), 'for' (PRO#GEN), 'me' (PRO#GEN)"
14,ang pangit ng item sorry ahhh n ung size kala mo pang bata,"'ang' (B - PRO#GEN), 'pangit' (I - PRO#GEN), 'ng' (I - PRO#GEN), 'item' (I - PRO#GEN), 'sorry' (O - ), 'ahhh' (O - ), 'n' (O - ), 'ung' (O - ), 'size' (O - ), 'kala' (O - ), 'mo' (O - ), 'pang' (O - ), 'bata' (O - )","'ung' (PRO#SIZE), 'size' (PRO#SIZE), 'kala' (PRO#SIZE), 'mo' (PRO#SIZE), 'pang' (PRO#SIZE), 'bata' (PRO#SIZE)"
15,010 d maganda yung product matqgal matuyo kumakalat sa mata hindi water proof,"'10' (B - PRO#GEN), 'd' (I - PRO#GEN), 'maganda' (I - PRO#GEN), 'yung' (I - PRO#GEN), 'product' (I - PRO#GEN), 'matqgal' (O - ), 'matuyo' (O - ), 'kumakalat' (O - ), 'sa' (O - ), 'mata' (O - ), 'hindi' (O - ), 'water' (O - ), 'proof' (O - )","'matqgal' (PRO#EFF), 'matuyo' (PRO#EFF), 'kumakalat' (PRO#EFF), 'sa' (PRO#EFF), 'mata' (PRO#EFF), 'hindi' (PRO#FUNC), 'water' (PRO#FUNC), 'proof' (PRO#FUNC)"
16,good quality product ok naman ung order mabilis dumating well pack din kaso orde ko lima tapos isa lang ang dumating ok lang kasi nakarefund ako try ko ulit umorder sa kanila baka kasi nalito lang si seller at magpapasko madaming order,"'good' (B - PRO#GEN), 'quality' (I - PRO#GEN), 'product' (I - PRO#GEN), 'ok' (O - ), 'naman' (O - ), 'ung' (B - DEL#TIME), 'order' (I - DEL#TIME), 'mabilis' (I - DEL#TIME), 'dumating' (I - DEL#TIME), 'well' (I - DEL#TIME), 'pack' (I - DEL#TIME), 'din' (O - ), 'kaso' (O - ), 'orde' (O - ), 'ko' (O - ), 'lima' (O - ), 'tapos' (O - ), 'isa' (O - ), 'lang' (O - ), 'ang' (O - ), 'dumating' (O - ), 'ok' (O - ), 'lang' (O - ), 'kasi' (O - ), 'nakarefund' (O - ), 'ako' (O - ), 'try' (O - ), 'ko' (O - ), 'ulit' (O - ), 'umorder' (O - ), 'sa' (O - ), 'kanila' (O - ), 'baka' (O - ), 'kasi' (O - ), 'nalito' (B - SER#GEN), 'lang' (I - SER#GEN), 'si' (I - SER#GEN), 'seller' (I - SER#GEN), 'at' (O - ), 'magpapasko' (O - ), 'madaming' (O - ), 'order' (O - )","'well' (SER#HAND), 'pack' (SER#HAND), 'orde' (DEL#CORR), 'ko' (DEL#CORR), 'lima' (DEL#CORR), 'tapos' (DEL#CORR), 'isa' (DEL#CORR), 'lang' (DEL#CORR), 'ang' (DEL#CORR), 'dumating' (DEL#CORR), 'nakarefund' (SER#RES), 'ako' (SER#RES)"
17,sigundo ko lng sya nagamit bago yung battery nilagay ko pero pahinto hinto syahindi na ako bibilin ng ganyan much better nag ahit nalang sana ulit ako,"'sigundo' (B - PRO#DUR), 'ko' (I - PRO#DUR), 'lng' (I - PRO#DUR), 'sya' (I - PRO#DUR), 'nagamit' (I - PRO#DUR), 'bago' (B - PRO#FUNC), 'yung' (I - PRO#FUNC), 'battery' (I - PRO#FUNC), 'nilagay' (I - PRO#FUNC), 'ko' (I - PRO#FUNC), 'pero' (I - PRO#FUNC), 'pahinto' (I - PRO#FUNC), 'hinto' (I - PRO#FUNC), 'syahindi' (O - ), 'na' (O - ), 'ako' (O - ), 'bibilin' (O - ), 'ng' (O - ), 'ganyan' (O - ), 'much' (O - ), 'better' (O - ), 'nag' (O - ), 'ahit' (O - ), 'nalang' (O - ), 'sana' (O - ), 'ulit' (O - ), 'ako' (O - )",
18,madikit naman kaso di pantay pantay yung cut di pantay pantay yung cut sa 1st 2 lines di pantay yun yung galing sa shop na to while sa 3rd lines sa ibang shopping app ko na binili di pantay pantay yung cut,"'madikit' (O - ), 'naman' (O - ), 'kaso' (O - ), 'di' (O - ), 'pantay' (O - ), 'pantay' (O - ), 'yung' (O - ), 'cut' (O - ), 'di' (O - ), 'pantay' (O - ), 'pantay' (O - ), 'yung' (O - ), 'cut' (O - ), 'sa' (O - ), '1st' (O - ), '2' (O - ), 'lines' (O - ), 'di' (O - ), 'pantay' (O - ), 'yun' (O - ), 'yung' (O - ), 'galing' (O - ), 'sa' (O - ), 'shop' (O - ), 'na' (O - ), 'to' (O - ), 'while' (O - ), 'sa' (O - ), '3rd' (O - ), 'lines' (O - ), 'sa' (O - ), 'ibang' (O - ), 'shopping' (O - ), 'app' (O - ), 'ko' (O - ), 'na' (O - ), 'binili' (O - ), 'di' (O - ), 'pantay' (O - ), 'pantay' (O - ), 'yung' (O - ), 'cut' (O - )","'madikit' (PRO#EFF), 'di' (PRO#CORR), 'pantay' (PRO#CORR), 'pantay' (PRO#CORR), 'yung' (PRO#CORR), 'cut' (PRO#CORR), 'di' (PRO#CORR), 'pantay' (PRO#CORR), 'pantay' (PRO#CORR), 'yung' (PRO#CORR), 'cut' (PRO#CORR)"
19,mali po ata yung na bigay ni seller were expecting na ma received yung parang gradient na water bottle pero iba po yung na received namin but okay lang anjan na yan eh,"'mali' (B - SER#HAND), 'po' (I - SER#HAND), 'ata' (I - SER#HAND), 'yung' (I - SER#HAND), 'na' (I - SER#HAND), 'bigay' (I - SER#HAND), 'ni' (I - SER#HAND), 'seller' (I - SER#HAND), 'were' (B - DEL#CORR), 'expecting' (I - DEL#CORR), 'na' (I - DEL#CORR), 'ma' (I - DEL#CORR), 'received' (I - DEL#CORR), 'yung' (I - DEL#CORR), 'parang' (I - DEL#CORR), 'gradient' (I - DEL#CORR), 'na' (I - DEL#CORR), 'water' (I - DEL#CORR), 'bottle' (I - DEL#CORR), 'pero' (I - DEL#CORR), 'iba' (I - DEL#CORR), 'po' (I - DEL#CORR), 'yung' (I - DEL#CORR), 'na' (I - DEL#CORR), 'received' (I - DEL#CORR), 'namin' (O - ), 'but' (O - ), 'okay' (O - ), 'lang' (O - ), 'anjan' (O - ), 'na' (O - ), 'yan' (O - ), 'eh' (O - )",
20,hindi black yung eyeliner na dumating pwro black yakaga inorder ko,"'hindi' (B - DEL#CORR), 'black' (I - DEL#CORR), 'yung' (I - DEL#CORR), 'eyeliner' (I - DEL#CORR), 'na' (I - DEL#CORR), 'dumating' (I - DEL#CORR), 'pwro' (O - ), 'black' (O - ), 'yakaga' (O - ), 'inorder' (O - ), 'ko' (O - )",
21,di nasunod yung ibang color na inorder ko pero oks lng good quality nmn,"'di' (O - ), 'nasunod' (O - ), 'yung' (O - ), 'ibang' (O - ), 'color' (O - ), 'na' (O - ), 'inorder' (O - ), 'ko' (O - ), 'pero' (O - ), 'oks' (O - ), 'lng' (O - ), 'good' (O - ), 'quality' (O - ), 'nmn' (O - )","'di' (DEL#CORR), 'nasunod' (DEL#CORR), 'yung' (DEL#CORR), 'ibang' (DEL#CORR), 'color' (DEL#CORR), 'na' (DEL#CORR), 'inorder' (DEL#CORR), 'ko' (DEL#CORR), 'good' (PRO#GEN), 'quality' (PRO#GEN)"
22,nung pagkabukas ko package yung keyboard is nakabukaka slightly open kala ko sira na fast delivery naman,"'nung' (B - PRO#COND), 'pagkabukas' (I - PRO#COND), 'ko' (I - PRO#COND), 'package' (I - PRO#COND), 'yung' (I - PRO#COND), 'keyboard' (I - PRO#COND), 'is' (I - PRO#COND), 'nakabukaka' (I - PRO#COND), 'slightly' (I - PRO#COND), 'open' (I - PRO#COND), 'kala' (O - ), 'ko' (O - ), 'sira' (O - ), 'na' (O - ), 'fast' (B - DEL#TIME), 'delivery' (I - DEL#TIME), 'naman' (I - DEL#TIME)",
23,ang dali ra masira oy at first madali gamitin ngayon ay di na nakakaputol ng hair na sstuck na sya yun lang thanks,"'ang' (O - ), 'dali' (O - ), 'ra' (O - ), 'masira' (O - ), 'oy' (O - ), 'at' (O - ), 'first' (O - ), 'madali' (O - ), 'gamitin' (O - ), 'ngayon' (O - ), 'ay' (O - ), 'di' (O - ), 'na' (O - ), 'nakakaputol' (O - ), 'ng' (O - ), 'hair' (O - ), 'na' (B - PRO#FUNC), 'sstuck' (I - PRO#FUNC), 'na' (I - PRO#FUNC), 'sya' (I - PRO#FUNC), 'yun' (O - ), 'lang' (O - ), 'thanks' (O - )","'ang' (PRO#DUR), 'dali' (PRO#DUR), 'ra' (PRO#DUR), 'at' (PRO#FUNC), 'first' (PRO#FUNC), 'madali' (PRO#FUNC), 'gamitin' (PRO#FUNC), 'di' (PRO#EFF), 'na' (PRO#EFF), 'nakakaputol' (PRO#EFF), 'ng' (PRO#EFF), 'hair' (PRO#EFF)"
24,wala seller service is excellent delivery was immidiate the product itself is poor very very weak airflow almost cant feel it hindi man lang ma ihip yung buhok ng aso,"'wala' (O - ), 'seller' (B - SER#GEN), 'service' (I - SER#GEN), 'is' (I - SER#GEN), 'excellent' (I - SER#GEN), 'delivery' (B - DEL#TIME), 'was' (I - DEL#TIME), 'immidiate' (I - DEL#TIME), 'the' (O - ), 'product' (B - PRO#GEN), 'itself' (I - PRO#GEN), 'is' (I - PRO#GEN), 'poor' (I - PRO#GEN), 'very' (O - ), 'very' (O - ), 'weak' (O - ), 'airflow' (O - ), 'almost' (O - ), 'cant' (O - ), 'feel' (O - ), 'it' (O - ), 'hindi' (O - ), 'man' (O - ), 'lang' (O - ), 'ma' (O - ), 'ihip' (O - ), 'yung' (O - ), 'buhok' (O - ), 'ng' (O - ), 'aso' (O - )","'very' (PRO#EFF), 'weak' (PRO#EFF), 'airflow' (PRO#EFF), 'almost' (PRO#EFF), 'cant' (PRO#EFF), 'feel' (PRO#EFF), 'it' (PRO#EFF), 'hindi' (PRO#EFF), 'man' (PRO#EFF), 'lang' (PRO#EFF), 'ma' (PRO#EFF), 'ihip' (PRO#EFF), 'yung' (PRO#EFF), 'buhok' (PRO#EFF), 'ng' (PRO#EFF), 'aso' (PRO#EFF)"
25,change feedback mag isa syang nag aactivate nang timer kagabi parang sira,"'change' (O - ), 'feedback' (O - ), 'mag' (B - PRO#FUNC), 'isa' (I - PRO#FUNC), 'syang' (I - PRO#FUNC), 'nag' (I - PRO#FUNC), 'aactivate' (I - PRO#FUNC), 'nang' (I - PRO#FUNC), 'timer' (I - PRO#FUNC), 'kagabi' (I - PRO#FUNC), 'parang' (I - PRO#FUNC), 'sira' (I - PRO#FUNC)",
