Review no.,Review,Phrase
3,010 sa effectiveness po nya 010 dahil kakalagay ko lang then wala man lang ilang kalahating minuto uminom lang ako wala na agad ung kulay sa lips ko kala ko nag sstay sya ng matagal kahit nga punasan mo pa ng wipes pero hindi man pla scam lang po,kakalagay ko lang then wala man lang ilang kalahating minuto uminom lang ako wala na agad ung kulay sa lips
3,010 sa effectiveness po nya 010 dahil kakalagay ko lang then wala man lang ilang kalahating minuto uminom lang ako wala na agad ung kulay sa lips ko kala ko nag sstay sya ng matagal kahit nga punasan mo pa ng wipes pero hindi man pla scam lang po,kala ko nag sstay sya ng matagal kahit nga punasan mo pa ng wipes pero hindi man pla
4,maganda dn same sa picture maganda sya medyo maliit nga lang sya,same sa picture
4,maganda dn same sa picture maganda sya medyo maliit nga lang sya,medyo maliit
5,not worth it ang bilis nya malowbat and ang tagal nya pang icharge,bilis nya malowbat
5,not worth it ang bilis nya malowbat and ang tagal nya pang icharge,tagal nya pang icharge
6,mahirap buksan yung payong need mo pa itulak sana na check man lang bago ipadala,mahirap buksan yung payong
6,mahirap buksan yung payong need mo pa itulak sana na check man lang bago ipadala,need mo pa itulak
7,ayaw gumana ng remote control my dent ung product na pinadala ni seller sana bago ipa ship check muna mabuti ni seller ung item na ipapadala para hnd nakaka disappoint sa client pag na recieve ung item,ayaw gumana ng remote control
7,ayaw gumana ng remote control my dent ung product na pinadala ni seller sana bago ipa ship check muna mabuti ni seller ung item na ipapadala para hnd nakaka disappoint sa client pag na recieve ung item,my dent ung product
8,excited ako sa order ko kasi matagal ko na gusto bumili ng mga mystery item so dahil 66 weve decided to order 5 mystery pouch expect ko 5 packs ang makukuha ko akala ko may sari sariling balot yun pala 5 products na sya sa iisang pouch,akala ko may sari sariling balot yun pala 5 products na sya sa iisang pouch
9,wrong color po yung dumating tapos yung green natanggal yung cover niya,yung green natanggal yung cover
10,510 ang mahal ng payong nd nmn ganun ka quality sira pa sabi ko seller if ayaw bilik pera ko change items nd na nag reply,nd nmn ganun ka quality
10,510 ang mahal ng payong nd nmn ganun ka quality sira pa sabi ko seller if ayaw bilik pera ko change items nd na nag reply,sira
11,close to ok lang i contacted the seller and they admitted that they intentionaly sent the wrong color without informing me the problem is i ordered it as gift for a man so purple is not really ok and both bottles have scratches doesnt look new for me,both bottles have scratches
11,close to ok lang i contacted the seller and they admitted that they intentionaly sent the wrong color without informing me the problem is i ordered it as gift for a man so purple is not really ok and both bottles have scratches doesnt look new for me,doesnt look new for me
12,ang pangit ng item sorry ahhh n ung size kala mo pang bata,ang pangit ng item
12,ang pangit ng item sorry ahhh n ung size kala mo pang bata,ung size kala mo pang bata
13,5 mystery box binili ko pero 5 din na magkapareho na mystery box anong mystery jan bumili paman din ako ng 5 para ma surprise ako na surprise nga kasi magkaka pareho umay wala man lang mouse o keyboard,5 mystery box binili ko pero 5 din na magkapareho na mystery box
14,010 d maganda yung product matqgal matuyo kumakalat sa mata hindi water proof,010 d maganda yung product
14,010 d maganda yung product matqgal matuyo kumakalat sa mata hindi water proof,matqgal matuyo kumakalat sa mata
14,010 d maganda yung product matqgal matuyo kumakalat sa mata hindi water proof,hindi water proof
15,good quality product ok naman ung order mabilis dumating well pack din kaso orde ko lima tapos isa lang ang dumating ok lang kasi nakarefund ako try ko ulit umorder sa kanila baka kasi nalito lang si seller at magpapasko madaming order,good quality product
16,sigundo ko lng sya nagamit bago yung battery nilagay ko pero pahinto hinto syahindi na ako bibilin ng ganyan much better nag ahit nalang sana ulit ako,sigundo ko lng sya nagamit
16,sigundo ko lng sya nagamit bago yung battery nilagay ko pero pahinto hinto syahindi na ako bibilin ng ganyan much better nag ahit nalang sana ulit ako,bago yung battery nilagay ko pero pahinto hinto
17,madikit naman kaso di pantay pantay yung cut di pantay pantay yung cut sa 1st 2 lines di pantay yun yung galing sa shop na to while sa 3rd lines sa ibang shopping app ko na binili di pantay pantay yung cut,madikit
17,madikit naman kaso di pantay pantay yung cut di pantay pantay yung cut sa 1st 2 lines di pantay yun yung galing sa shop na to while sa 3rd lines sa ibang shopping app ko na binili di pantay pantay yung cut,di pantay pantay yung cut di pantay pantay yung cut
18,di nasunod yung ibang color na inorder ko pero oks lng good quality nmn,good quality
19,nung pagkabukas ko package yung keyboard is nakabukaka slightly open kala ko sira na fast delivery naman,nung pagkabukas ko package yung keyboard is nakabukaka slightly open
20,ang dali ra masira oy at first madali gamitin ngayon ay di na nakakaputol ng hair na sstuck na sya yun lang thanks,ang dali ra
20,ang dali ra masira oy at first madali gamitin ngayon ay di na nakakaputol ng hair na sstuck na sya yun lang thanks,at first madali gamitin
20,ang dali ra masira oy at first madali gamitin ngayon ay di na nakakaputol ng hair na sstuck na sya yun lang thanks,di na nakakaputol ng hair
20,ang dali ra masira oy at first madali gamitin ngayon ay di na nakakaputol ng hair na sstuck na sya yun lang thanks,na sstuck na sya
21,wala seller service is excellent delivery was immidiate the product itself is poor very very weak airflow almost cant feel it hindi man lang ma ihip yung buhok ng aso,product itself is poor
21,wala seller service is excellent delivery was immidiate the product itself is poor very very weak airflow almost cant feel it hindi man lang ma ihip yung buhok ng aso,very weak airflow almost cant feel it hindi man lang ma ihip yung buhok ng aso
22,change feedback mag isa syang nag aactivate nang timer kagabi parang sira,mag isa syang nag aactivate nang timer kagabi parang sira
23,dalawa yung binili ko isa sakin tsaka sa friend ko first of all kaunti lang yung laman nung isa habang medyo mas lamang yung sa isa about sa color maroon yung sa tingin kong dapat maging kakalabasan niya pero violet yung kulay niya kapag nilagay na sa labi also kulang,kaunti lang yung laman nung isa habang medyo mas lamang yung sa isa
23,dalawa yung binili ko isa sakin tsaka sa friend ko first of all kaunti lang yung laman nung isa habang medyo mas lamang yung sa isa about sa color maroon yung sa tingin kong dapat maging kakalabasan niya pero violet yung kulay niya kapag nilagay na sa labi also kulang,about sa color maroon yung sa tingin kong dapat maging kakalabasan niya pero violet yung kulay niya kapag nilagay na sa labi
24,ok na sana pero hindi 10 meters 6 meters lang saan ang 4 meters kada isang roll magpa katotoo naman sa post niyo,hindi 10 meters 6 meters lang saan ang 4 meters kada isang roll
25,amoy plastic amputa tagal ko inorder now lang dumating amoy plastic pa huhu why,amoy plastic
25,amoy plastic amputa tagal ko inorder now lang dumating amoy plastic pa huhu why,amoy plastic
26,not good not satisfied omg sa quality nya para sakin hindi okay akala ko yung na sstrech talaga sya e hindi naman pala sa picture at live na nagbebenta goods sya in person hindi na pala pero thats business sobrang nanghinayang ako,not good not satisfied
26,not good not satisfied omg sa quality nya para sakin hindi okay akala ko yung na sstrech talaga sya e hindi naman pala sa picture at live na nagbebenta goods sya in person hindi na pala pero thats business sobrang nanghinayang ako,quality nya para sakin hindi okay
26,not good not satisfied omg sa quality nya para sakin hindi okay akala ko yung na sstrech talaga sya e hindi naman pala sa picture at live na nagbebenta goods sya in person hindi na pala pero thats business sobrang nanghinayang ako,akala ko yung na sstrech talaga sya e hindi naman pala
26,not good not satisfied omg sa quality nya para sakin hindi okay akala ko yung na sstrech talaga sya e hindi naman pala sa picture at live na nagbebenta goods sya in person hindi na pala pero thats business sobrang nanghinayang ako,sa picture at live na nagbebenta goods sya in person hindi na pala
27,actually kala ko 10meters pro 6meters lang ng sinukat ko,10meters pro 6meters lang ng sinukat ko
28,oil based kadisappoint lang yung cloud ksi parang iba yung amoy antapang may pag kalalake rin siyang scent which is not the same sa usual na binibili ko then amoy na amoy talaga yung alchohol sa bawat perfume pero i guess its worth the price mura lng naman kaya ok,iba yung amoy antapang may pag kalalake rin siyang
29,late dumating ung parcel and sira ung producthnd gmaganaon lng tpos wla na,sira ung producthnd gmaganaon lng tpos wla na
30,i dont think nsa 10meters ito lukot pa,i dont think nsa 10meters ito
30,i dont think nsa 10meters ito lukot pa,lukot pa
31,hindi ko nagustuhan yung amoy i already received my parcel pero nung pag ka open ko may leak and hindi ko nagustuhan yung amoy nakakasuka yung amoy this is my first time to buy a product in this shop and i expect too much nakakadismaya,hindi ko nagustuhan yung amoy
31,hindi ko nagustuhan yung amoy i already received my parcel pero nung pag ka open ko may leak and hindi ko nagustuhan yung amoy nakakasuka yung amoy this is my first time to buy a product in this shop and i expect too much nakakadismaya,hindi ko nagustuhan yung amoy nakakasuka yung amoy
32,parang laruan yung glads niya so dissapointed,parang laruan yung glads niya
33,di gumagana mic sabog pa tunog ang sabi ko bago ko i place order ko ay ipa double check yung product pero di nakinig,di gumagana mic
33,di gumagana mic sabog pa tunog ang sabi ko bago ko i place order ko ay ipa double check yung product pero di nakinig,sabog pa tunog
34,sira sya at may amoy na ung adoptor diko bet kase nasayang lng pera ko,sira sya
34,sira sya at may amoy na ung adoptor diko bet kase nasayang lng pera ko,may amoy na ung adoptor
35,010 di naman sya gumagawa e not satisfied buyer her,di naman sya gumagawa
36,hindi gumagana yung mic and mahina ang sounds not recommend,hindi gumagana yung mic
36,hindi gumagana yung mic and mahina ang sounds not recommend,mahina ang sounds
37,sobrang dismayado scammmmm ang poweradjust button as in hollow talaga defected ang ibinigay ni seller sana hindi mangyari sa iba baka naman seller may magawa kang compromise para dito,ang poweradjust button as in hollow talaga defected ang ibinigay ni seller
38,ok po sana kaso hindi po stretchable kaya hindi kasya yung biggest size nila,hindi po stretchable
38,ok po sana kaso hindi po stretchable kaya hindi kasya yung biggest size nila,hindi kasya yung biggest size nila
39,idk nabili ko sa piso sale gumagana naman kaso ilang minuto na ako nagchacharge ganun parin battery percent hindi nadadagdagan o minsan 1 lang na dagdag sa loob ng 10 mins,gumagana naman kaso ilang minuto na ako nagchacharge ganun parin battery percent hindi nadadagdagan o minsan 1 lang na dagdag sa loob ng 10 mins
40,1 earbuds is not working di gumagana ang isang earbuds sayang maganda sana next time po paki double check kung working ang product na binibenta nyo bago i ship sa buyer,1 earbuds is not working di gumagana ang isang earbuds
41,good masikip na kontingbut good quality maganda ang fit sa paa,masikip na kontingbut
41,good masikip na kontingbut good quality maganda ang fit sa paa,good quality
41,good masikip na kontingbut good quality maganda ang fit sa paa,maganda ang fit sa paa
42,akala ko maganda sana sa shop nlng ako na una ko inorderan bumili di mn lng nag iiba ng kulay pag nasa outdoor  anti rad lng to tapos malaki pa,di mn lng nag iiba ng kulay pag nasa outdoor anti rad
43,salamat po seller good quality pa din pangalawang beses ko na itong bili sa item na to hindi ito akin pinabili lang nakakabadtrip lang po ang ninja van bukod sa sakto sa time frame talaga na delay pa ang delivery nila akoy naiinis dahil hindi ko napansin na sila pala,good quality
