Review #,Review,product,delivery,price,service,,,,
57,definitely size up since their sizes run small my foot size is usually 38 so i opt to choose 3839 and its sakto lang for my feet i tried to ask the seller if i can change the size to 4041 but they said no,1,0,0,1,The size is small and cannot change the order.,,,
58,mabilis siya naedeliver pero iba ang sa ads nila iba ang sa actualyung sa ads nila katulad sa sm kaya buminli ako,0,1,0,0,The product is different from ads and has fast delivery.,,,
59,nagamit ko na kaya medyu madumi hehehe ok nman dyam worth it nman yung price nag downsize ako kaya mdyu masikip bumabangga yung paa ko sa unahan pro kng nd ako nag downsize maluwag sakin,1,0,1,0,The product is good but worth the price.,,,
60,dark brown at light brown na eye brow pencil order ko pero black at light brown dumatingdiko din magagamit ung black sayang langso far ok naman ung ibang itemssana nextime pacheck na lang bago iship para uulit pa ung buyer,0,1,0,0,The product has different color.,,,
61,good pag malakas po yung hangin nadadala po yung umbrella okay naman sya since maliit lang talaga so expected manipis wires sa loob good for sunny days only,1,0,0,0,The product has small size.,,,
62,mali yung size nya sana next time paki double check,1,0,0,0,The product is wrong size.,,,
63,kitang namn yung order ko if anong color pero yan ang dumating hahahaha sana hnd na nilagyan ng choices po if mali nmn sna inform din si buyer po para alam,0,1,0,0,The product has different color,,,
64,ok naman po ung purifier kaya lang mag damage po nung nareceive ko,1,0,0,0,The product has damage upon receiving.,,,
65,hindi sya gaanong magandaa peroo okay na ren para sa price nya,1,0,1,0,The product is not good but the price is okay.,,,
66,fit for its price ok naman xa sakto lang s presyo nya maganda ung lalagyan nya kaso hindi din xa original mabilis mag init ung ulo ng charger magnda ung extension wire kaso magaan lng ulo ng charger nya as i expected,1,0,1,0,The product is okay for its price.,,,
67,least favorite sa mga binili ko akala ko mga two inches na pagitan mula puso pero medyo maliit siya size niya pang bra lang pero okay siya,1,0,0,0,The product is small.,,,
68,low low quality plastic ang body niya natatanggal tanggal pa i hope effective ang performance niya interms of cleaning air,1,0,0,0,The product has low quality.,,,
69,diq type kc may damage pano aq mg rate ng magnda e may dmge ng,1,0,0,0,The product has damage,,,
70,may crack ung isa kaya good and bad nalang,1,0,0,0,The product has crack.,,,
71,maganda sya right color naman kaso may gasgas sya matagal bago dumating but ok lang,1,1,0,0,The product has scratch.,,,
72,okay po sya pero pag nag chacharge sya walanc color if charging and fully charged naba un lng po,1,0,0,0,There is no charging indicator.,,,
73,3star kc ndi sya kcng legit nung una kong binili ang dry nya at ndi tumatagal,1,0,0,0,The product is not as long lasting.,,,
74,narecieve ko ndin after ng matagal n paghihinay sana sulitpero salamat,0,1,0,0,Late delivery,,,
75,received item in good condition hopefully it will help talaga sana lang may translation ang remote,1,0,0,0,The product has no translation.,,,
76,maganda nman kaso maliit sa size na nakuha ko pero all goods,1,0,0,0,The product has small size.,,,
77,mabilis dumating ung order ko maayos din ang pagkabalot nya safe naman ang itemdiko pa natatry gamitinmokang matibay namanyun nga lang di nasunod yung gusto kong kulay,1,1,0,0,Has quick delivery but wrong color.,,,
78,too small  nag plus 1 pa ako sa size pero maliit pa din,1,0,0,0,The product has small size.,,,
79,could be better doesnt bend like what other buyers got got a variation where it doesnt bend matigas lang siya then medyo mahina din yung hangin i was expecting what was advertised and i didnt get it overall its an okay product still usable naman,1,0,0,0,The product doesn't work as expected and weak.,,,
80,tama naman lahat ng kulay kaso maling design yung binigay sa color blue at white masakit sa paa yung upper part ng blue at white pero yung black malambot sa paa masarap gamitin,1,0,0,0,The product has wrong design and hard to use.,,,
81,mabilis malobat in the middle of the night,1,0,0,0,The product is easy to lowbatt.,,,
82,medyo defective yung item na dumating sakin sobrang hirap buksan para ma access yung battery akala ko nung una sira na sana dino double check muna lahat ng items bago iship,1,0,0,0,The product has defect. Very hard to open.,,,
83,kala ko rechargeable kc un ang order at binayaran kobuti me freebie khit pano nakabawi sa budol,0,0,1,0,The product is high price.,,,
84,isang beses pa lang nagamit at nasira na yung white na pinili ko in good conditio nanan yung dalawang green na neck fan pero yung white wala na talaga tumutunog nga lang yung isang side dun sa green,1,0,0,0,The product is damage after one use.,,,
85,may sira na pagdating yung beige na naorder q is may crack tas madumi parang di na tatagal sana chineck man lang ng seller,1,0,0,0,The product has damage and dirty.,,,
86,excellent ok nman ung quality kaso blue ung order ko pero white ung pinadala ni seller sana man lang nag inform na walang blue at hindi kung anong color lang on hand nya yun ang pinadala,1,0,0,1,The product is wrong color and no one informed.,,,
87,ok n din s price nya paya yong water bottle compare s nabili ng kapatid kong ganitong water bottle mataba same lang naman ang taas,1,0,1,0,The product has same height to water bottle to his brother but fat and the price is okay.,,,
88,ok sana siya but kulang ang measurement sabi 10 meters long pero 6 meters lang pala almost half din ang kulang,1,0,0,0,The product has less height,,,
89,yeydumating na ung ringlight kokaya lang sobrang tagal dumating plus na dismaya lang ako kasi may crack sa gilidpero over all ok namanung lights niya very good,1,1,0,0,The product has crack and long delivery.,,,
90,sizes are for women so basically you need to add 1 or 2 addtl to the size for guys quality wise is worth naman packaging is ok the seller is not responsive,1,0,0,1,The product has small sizes and seller is not responsive.,,,
91,the i9stws is not working they did not also respond to my chat what a sad experience the mouse is working and i love the gaming mouse pad ba to,1,0,0,1,The product is not working and the seller is not responsive.,,,
92,dalawa inorder ko na matte tempered pero ung isa may gasgas pero ung casing na inorder ko okay naman worth the price dissatisfied lang ako sa isang matte tempered,1,0,1,0,The product has scratch and worth its price.,,,
93,maganda naman ang mga product kaso sira yung isang lace ng mini fan sana po nacheck muna bago ipack,1,0,0,0,The product is good but has damage.,,,
94,i order 2 but the other is wrong color  the other is just light only thanks pa rin for fast delivery,0,1,0,0,The product has wrong color and fast delivery.,,,
95,i bought 3pcs of mini portable neck fan i was dissapointed the packaging of the product wala man lang bubble wrap kusa nalng nilagay sa plastic not presentable sa pagbibigyan ko,0,0,0,0,The product has no bubble wrap.,,,
96,kapag connected na siya sometimes it gets interrupted putol2 ang isang buds matagal malowbat okay narin siya for its price,1,0,1,0,The product has interruption and the price is okay.,,,
97,sobrang nakaka disappoint lima ang order namin apat lang nakadating black mask ang order blue ang dumating pakiayos naman po sana nagbabayad naman kami ng tama,1,0,0,0,The product has different color.,,,
98,okay naman sana dahil affordable siya for a ringlight kaso napakanipis naman ng packaging nabasa siya hanggang loob at yung karton ng mismong ring light ay nalusaw na at punit punit yung sa stand,0,0,1,0,The product has affordable price but the packaging is not good.,,,
99,good quality maayos at walang damage ang wallpaper kaso 6m lang at halos 40cm lang ang lapad kaya kulang na kulang ang wallpaper paki tama naman po ng description nyo sa inyong product overall good naman sya kaya ok na din thank you pa din po,1,0,0,0,The product is good but has different description.,,,
100,sana maayos yun cut nio  yun ibang cut sa order ko panget  walang border or hnd pantay yun cut,1,0,0,0,The product has not good cut.,,,
101,ukie naman cia sana kaso yun lg madali matanggalpero ukie lgthank u seller thank u kuya rider,1,0,0,1,"Product is ok, but easily detaches. Thanks seller and rider. Mentions product and service.",,,
102,kulang yung items but quite good at may crack yung isa,1,0,0,0,"Items are lacking, but good. One item has a crack. Focuses on the product.",,,
103,the red hindi sya maroon which is my order and cream color are small compare to others thin lang yung fabric kapag sinuot kita ang foam nawawala din sa pwesto di kasi nakatahi or secured,1,0,0,0,"The colors are wrong, and the fabric is thin and not secure. Focuses on product.",,,
104,standard packaging is okay and item shipped ontime hindi ko lang nagustohan kasi mali yung size na pinadala ni seller maliit siya sakin,0,1,0,1,"Packaging and shipping are good, but the size is wrong and from the seller. Mentions delivery and service.",,,
105,may leak siya sayang again for me lang di siya kaamoy ng cloud pero mabango siya ang fresh and sweet ng amoy and mejo strong smell din matagal lang dumating parang overseas galing,1,1,0,0,"It has a leak and doesn't smell like the cloud scent.  Fresh and sweet smelling. Long delivery time, seems overseas. Mentions product and delivery.",,,
106,the product itself all goods naman,1,0,0,0,The product itself is good. Mentions product.,,,
107,walang box na deform ung item buti di na damage huhuhuhu sana paki box nmn next time pero ok lng maganda nmn pa din salamat,1,0,0,1,"No box, item deformed. Lucky it wasn't damaged. Hope for boxing next time. Product is good.  Mentions product and service.",,,
108,relaxing to the feet maganda ang ang product at relax sa paa kaya bili na kayo all goods,1,0,0,0,"Relaxing to the feet. The product is good and relaxing. Buy now, all good. Focuses on product.",,,
109,maganda naman sya ok ang texture pero sobrang nipistamaan lang very light ng kung anong bagay damage agad,1,0,0,0,"Good and okay texture, but very thin. A light touch damages it immediately. Mentions product.",,,
110,may gasgas mabilis naman yung shipping at delivery masaya na sana ako eh kaya lang iba kulay nung lanyard color blue kung white yung fan dapat white din yung lanyard malakas naman buga ng hangin,1,1,0,0,"Scratches, fast shipping and delivery, wrong color of lanyard, strong wind output. Mentions product and delivery.",,,
111,for its price okay naman sya pero iba pa rin sa iniisip kong itsura nya i mean akala ko fix yung pinakaibabaw or yung nilulusutan ng paa pero hindi pala pero okay naman hirap lang ako gamitin dahil nasasaktan akong ilakad pero maganda sya hindi ko lang super bet,1,0,1,0,"Okay for the price. Different look from expectation, and hurts to use. Mentions product and price.",,,
112,maganda ung quality kasu may crack ang ringlight at may pipit ung gilid exited pa nmn ako na matangap hays,1,0,0,0,Good quality but has a crack on the ring light and a dent on the side. Was excited to receive. Focuses on product.,,,
113,i ordered black mascara pero dumating eye liner,0,1,0,0,"Ordered black mascara, but received eyeliner. Wrong item.",,,
114,i very very like it order ako sa susunod pag may pera na,0,0,1,0,Very much liked it. Will order again if there is money. Focus on price.,,,
115,napakagaan parang exhaust fan lang sya na nilagyan ng filter im not sure if this is really effective,1,0,0,0,"Very light, like an exhaust fan with a filter. Not sure if it's effective. Focuses on product.",,,
116,di ganun ka bango pag open ko well package nmj sya but pag open ko ang dulaa nya kasi may mga oil sa labas idk f galing sa pabango pero nakasealed nmn  pero sobra as in puno ng oil  and okay nmn yung amoy for its price nya,1,0,1,0,"Not very fragrant upon opening. Well-packaged. Oily outside, okay smell for its price. Focuses on product and price.",,,
117,not good maganda ung item kaso di nag dodouble check ang seller sira sira ang pinapadala,1,0,0,1,"Not good. Item is good but the seller doesn't double-check, sending broken items. Focuses on product and service.",,,
118,this is my 2nd purchase of wall paper quality is good but wrong color yung isang order ko i ordered color light grey but color white was delivered still overall goods naman hope lang na tama na madeliver for my 3rd order cause i badly needed color light grey,1,1,0,0,"Second purchase, good quality, but wrong color. Ordered light grey but received white. Still overall goods. Hopes for correct delivery next time. Focuses on product and delivery",,,
119,ok a bit big that is doesnt serve its purpose anymore mas better kasi kung medyo masikip para naiipit tlga ang dapat ipitin,1,0,0,0,"Okay, but a bit big, doesn't serve its purpose anymore. Better if it's a bit tighter. Focuses on product.",,,
120,ayos ang product nila promise hehehe pero napaka famous ng seller hindi nagrereply sa chat reply reply din obobs wala tuloy akong mouse pad dahil kinansel niyo request ko kahit dadagdag lang ng item tsk,1,0,0,1,"Promises their product is good, but seller is very famous and doesn't reply to chat. Request was canceled despite offering to add an item. Focuses on product and service.",,,
121,sent me the wrong colorok na din kesa ma hassle pa sa pag return next time please check mabuti,0,1,0,0,Sent the wrong color. Ok rather than hassle of returning. Please check carefully next time. Shipping issue,,,
122,okay goods na manage your expectations nice yung black kasi mas makapal yung sole niya kesa sa white overall goods naman,1,0,0,0,"Okay goods, manage expectations. Black is nice because the sole is thicker than the white. Overall goods. Focuses on product.",,,
123,giving wrong item instead of m nagsend ng large without informing the buyer sana magsabi muna if ndi available yung size para mapalitan ng ibang color ndi yung magpapadala ng maling size wag pla desisyon,0,1,0,1,"Giving wrong item instead of M, sends Large without informing. Should say if the size is unavailable to be replaced with another color rather than sending the wrong size. Service and Shipping",,,
124,ok naman yung slipper what you order is what you recieved pero i suggest na mag add ng 1 size sa original mong size cause i ordered size 7 but it was smaller than my feet kaya mag add nalng kau ng size than the original size,1,0,0,0,"Okay slipper, what you order is what you received but i suggest adding 1 size to your original size cause i ordered size 7 but it was smaller than my feet. Focuses on the fit of the product",,,
125,good the product is nice its just that parang mas mahina yung wind sa isang side mabilis rin dumating and in good quality thank u seller,1,1,0,1,"Good, the product is nice, just that the wind is weaker on one side. Arrived quickly and in good quality. Thank you seller. Mentions product, delivery, and service.",,,
126,the size tama nasn deliver pero medyo maliita siya sa size kahit na 4041 size w bitin,1,1,0,0,"The size is correctly delivered, but slightly small for its size even though its a 40-41. mentions delivery.",,,
127,hndi parihas sa nasa photo walang naka lagay na name hndi xa naka box sa mga reviews tama nmn ung deliver bkit ito mali nmn dis appointed,0,1,0,0,Not the same as in the photo. No name on it and not in a box. In the reviews the delivery is correct why is this wrong im dissapointed. Focuses on Shipping.,,,
128,the product is good yun lang ang tagal bago mashiiip kasi nga preorder na re brand lang yung quality same lang sa binebenta sa iba yun lang mag aantay ka ng kulang kulang 1 month sa item mo kbye,1,1,0,0,"The product is good, just takes a long time to ship because it's pre-order and re-branded. Quality is the same as sold elsewhere, you just wait almost a month for your item. Focus on Product and Delivery.",,,
129,misleading content based on description rechargable sya it state that meron syang micro usb port and lithium battery pero wala naman anyways sana gumagana pa edit nang description paki ayos thanks mabilis lang yung delivery,1,1,0,0,Misleading content based on description rechargeable has micro usb port and lithium battery but there is none. Anyways hope it works edit description please. fast delivery,,,
130,nasunod lahat ng kulay na inorderok din ang tela pero may butas yung isang pocket ng blue jogger then sira yung handle ng isang zipper ng gray jogger minessage ko si seller pero di ngreply 2nd time buyer here pa nmn okay nung unang order ko e hayst,1,0,0,1,"Colors ordered were followed. Fabric is okay, but one pocket has a hole and one zipper handle is broken. Messaged the seller but no reply. Was a second-time buyer. Focuses on product and service.",,,
131,hi as u can see po i ordered pink earphone and a pink cutter also a flexible fan but to my disappointment mali na ang kulay hindi pa tugma sa description yung cutter hindi nag ssteady yung fan hindi nabebend yung earphone imbis na pink naging blue,1,0,0,0,"Ordered pink earphone, pink cutter and flexible fan but to my disappointment the colors are wrong cutter does not steady fan is not bendable earphone instead of pink is blue. Focuses on Product.",,,
132,good may mga dimples at gasgas yupi ang carton at manual  all working naman sya hindi lang ako nasatisfy sa packaging,1,1,0,0,Good has dimples and scratches carton and manual are crumpled. All working but not satisfied with packaging. Product and Delivery Focus.,,,
133,maganda po sana ung item kaso nga lng dumating po sakin na basag please po next time pa double wrap po ng ringlight para maiwasan po ung basag tulad po nito sa akin thank you,1,1,0,1,"Item is good but arrived broken please next time double wrap ringlight to avoid broken item thank you, Product Delivery Service",,,
134,i ordered beige and black same sizes pero ang ibinigay ni seller beige 4041 black 4243 nakakadisappoint kaya binenta ko nalang sa pinsan ko sa mas mababang presyo sa picture ay nagamit na ng pinsan ko,0,1,1,1,"I ordered beige and black same sizes but seller gave beige 40-41, black 42-43 dissapointing. Sold to cousin for lower price. Focuses on sizes/service",,,
135,pwede for 3 days before dumating yung order komaganda sana yung item kc mura kso mahina higat sa lahat nag nagloloko bagong bagong pa naman eh,1,1,1,0,"Took 3 days before the order came item is good because cheap unfortunately weak suddenly malfunctioning even though new, product delivery price",,,
136,maganda sya sobrang elegant tignan sa paa the problem is hindi sya mukhang matibay at nong dumating sa akin sobrang visible ng dirts also 1 on size kasi its better if may allowance ka at mas maganda pa siya tignan kapag hindi,1,0,0,0,"Its beautiful elegant to look at on the feet problem is it doesnt seem durable and when it arrived it was very visibly dirty also 1 on size because its better if theres allowance and its more beautiful to look at when its not,Focuses on product",,,
137,good it serves its purpose nice  the delivery guy is okay sana magtagal di masira agad napakamura niya pero maganda siya,1,1,1,1,Good it serves its purpose nice delivery guy is okay hope it lasts doesnt break easily its very cheap but it's good,,,
138,ok sana siya kaso mabilis magoverheat so tendency you need to stop cleaning and wait mo siya until gumana ulit not bad for the price and purpose what you pay is what you get,1,0,1,0,"Ok sana but it overheats quickly so there is a tendency you need to stop cleaning and wait for it until it works again. Not bad for the price and its purpose what you pay is what you get, product price",,,
139,for cement for me cguro pagcut lng dapat pantay sana para d masyado makita na hindi pantay2 but for all okay naman kahit manipis but because cguro dahil 5pesos lng tpus fast delivery tnx nman sa seller tas driver yan lng po ay may kaunti na dumi yunlng,1,1,1,1,For cement it looks as if the cut should be equal so you cant see that its not equal but for all ok even if its thin but the cost is cheap. Fast delivery thanks seller and driver there is just some dirt though,,,
140,so so quality order received earlier than expected good quality naman for its affordable price thank you at tama yung color at size mukhang madaling masira yung strap,1,1,1,0,so so quality. order received earlier than expected. good quality naman for its affordable price. thank you at tama yung color at size. mukhang madaling masira yung strap. Mentions the quality/price/delivery,,,
141,medyo old stock na ata nabgay sa akin pati ung hangin nia mahina,1,0,0,0,"I think old stock was given to me and the air is weak., Product",,,
142,maliit po yung sizes although ok naman for its price pwede na rin,1,0,1,0,"Small sizes, although ok for its price. Product and Price.",,,
143,hindi pulido workmanship the straps are exposed where they should have been firmly glued sorry seller for the rating pero kailangan ipadikit ulit sayang kasi maganda material,1,0,0,1,Not good workmanship the straps are exposed where they should have been firmly glued sorry seller for the rating. it needs to be glued again the material is good but sayang,,,
144,di sya kaamoy ng ag cloud ang daming leak nung dumating but okay naman for its price,1,1,1,0,It doesn't smell like Cloud many leak when it arrived but its okay naman for its price product delivery price,,,
145,i ordered gold silver ung dumating sadnessna excite pnmn kme sa gold n itsura nya overall ok nmn quality to seller sana magsend muna picture ng item before sending the order,1,0,0,1,I ordered gold silver arrived sadness we were excited for the gold look. Overall ok naman quality. To seller sana magsend muna picture of item before sending the order Product Service,,,
146,accurate naman i dont like the packaging kasi parang hindi protected yung product but nonetheless okay naman,1,1,0,0,Accurate I dont like the packaging seems like its not protected yung product but nonetheless okay naman. Accuracy Delivery,,,
