Review #,Review,product,delivery,price,service,,,,,
84,hindi po sya yung actual na nasa picture thought it was hindi pa ngrereply yung seller pagtinanong add 2 sizes kayo kasi maliit pagdating,1,0,0,0,Item not actual picture from seller,,,,
85,fair yung order ko na white green din ang dumating hays,0,1,0,0,Wrong color the item seller,,,,
86,for the shoes they deliver maganda siya pero still mali pa rin ang nadeliver na disappoint ako ok naman ang shoes na nadeliver even though its not my order pero kasi hindi yun ang inorder ko kaya bakit nagiba ang sabi na confused yung packer kaya namalinaisip ko din yan,1,1,0,0,The item deliver for the shoes is ok pero hindi yun yung inorder ko mali parin,,,,
87,sorry po pero nasira simcard ko na globe because of this,1,0,0,0,The item is wrong i give sorry but it broken my card,,,,
88,wrong color mali na nga kulay na binigay di man lang nag response or nag rereply ung seller,0,0,0,1,Seller no responsible or di nag rereply,,,,
89,kala q nmn kelangan ng battery hindi pala saka ambilis ma lowbat 6hrs naka charge 10 seconds lang nagana tanginangyan scam,1,0,1,0,Item no need battery or scam is too bad no good the seller,,,,
90,maliit yung size 3839 dinikitan nyolang ng sticker na 3839 i think this is 36 size size q kse 37 e hindi sumaktosumobra sa paa q kundi kulang hyst,1,0,0,0,Wrong or over size in shipping,,,,
91,ok namn kaso hindi naka bable wrap hinde eective im telling the truth,0,0,0,0,The item is good but no bubble wrap,,,,
92,i was hoping for a yeezys slides pero dumating is just a plain rubber slides well although its comfortable hindi nalang sana ko umasa namay feelings kapa sakin balik kana i miss you,1,0,0,0,Hope but item is not okay,,,,
93,wrong product i ordered eyebrowblack and mascara and ang dumating is eyeliner and mascara at wala parang tinta yung eyeliner,1,0,0,0,I ordered wrong product but the seller give another,,,,
94,not nice nakaka disappointed sya tagal ko inintay tas ganto lang dadating baliktad yung lens nya then medyo paling yung frame ng glasses then yung buble wrap nya butas kaya walang hangin one of the reasons din siguro kung bakit nadamage yung item so sad talaga sayang lang yung pera,1,1,1,0,Waiting to long and disappoint the item baliktad,,,,
95,hindi yung order ko ang dumating mix colors sya white and apple green ang order ko pero mix color ang nabigay huhu pero thankyouuu parin kasi binawi sa dami ng pieces,1,0,0,0,Mix color item for the customer but so may pieces,,,,
96,wrong item first pic yan ang dumating samin 1liter lang 2nd pic comparison ng dapat na order namin lugi sainyo will not recommend,1,0,1,0,The seller wrong item in courier and will not recommend,,,,
97,walang lanyard freebie na dumating,0,0,0,0,No freebie for the items,,,,
98,tagal matuyo di maganda amoy di na sya na tuyo at mabaho walang kulay yung na order ko kahit ilang patong ko sya nilagyan at tagal tlga matuyo until now basa pa den sya na madulas,1,0,0,0,The product not easy to use,,,,
99,wlaa hysssisang beses ko lg nagamit pag bigay sakin gumana sya then na lowbathpag charge ko wala yubg charging pin walang nakalagay don ampanginguys wag kayo bibili dito sayang pera nyooodi nmn nag rerepky na yung seller,1,0,1,1,One used item  but after nag low bath charging is no good then the seller di nmn nag rereply,,,,
100,came from china pero wala man lang bubble wrap yung item huhu puro gasgas tuloy ung lens,1,0,0,0,The item is from china but without bubble wrap and lense are gasgas,,,,
101,ngaun ko palang sya nasubukan simula nung madeliver sya kahapon hindi gumagana akala ko pa naman maganda quality ng product na to this my first time na bumili ng item na hindi gumagana,1,1,0,0,"Product not working, implies quality issue.Delivery happened yesterday (use as a reference)",,,,
102,yan order koooo red black pero dumating all black dibaaa ang mahusay,0,1,0,0,Wrong item delivered. Incorrect color received.,,,,
103,too watery matubig siya so parang tubig talaga ang inispray ko after magpagod sa make up,1,0,0,0,Product quality feedback. It's too watery.,,,,
104,napepressure screen ko sa higpit ng ipit yung package naupi tas yung lens may mga scracth na it might be good for others pero ampangit ng akin,1,1,0,0,"Damage in transit, package dented, lens scratched, product quality affected.",,,,
105,madali mapunit worst purchase ever buti nag try lang muna ako ng isa kulang sa sukat hndi sya 10meters madali mapunithigit s lahat hindi madikit ma iistress ka sa pagkakabit,1,0,0,0,"Easy to tear, not 10 meters as advertised, difficult to stick (product issues)",,,,
106,510 very disappointed ako sa eyebrow pencil grabe naman bi parang abo naman na pinatigas hahahahahahhaha,1,0,0,0,"Product quality, resembles hardened ash.",,,,
107,to be honest di naman mabango iba siya don sa expected ko na magiging amoy ng ariana cloud tapos kapag tumatagal siya sa damit parang nagiging amoy putok next time ayosin po ang product ha,1,0,0,0,Product smell issue. Unpleasant smell and not as expected.,,,,
108,blackgray yung inorder ko yung dumating kulay violet and greenblue,0,1,0,0,Wrong color delivered.,,,,
109,poor quality dumating na yupi ang box ng request ako ng refund peo hindi na grant sira yung ball mount sayang,1,1,0,0,"Poor quality, dented box, damaged ball mount (product, delivery)",,,,
110,liit na mga sizes order kayo bigger sa usual size nyo sayang tuloy,1,0,0,0,Size issue (product),,,,
111,hindi maganda ang quality niyadi nila binalot ng maayos nkabox lng xa wlang bubble wrap nasira tuloy sana refund ng seller or ppdla nlng ng pngpalit,1,1,0,0,"Poor quality, no bubble wrap, damaged (product, delivery)",,,,
112,not good akala q samsung hindi pala  parang immitation lng sya tpos nag lalag panu ba to masoli sa seller not recommended  ang bagal ng loading  kahit malakas ung internet namen sayang ung pera  sorry po ah un tlga ung comment ko,1,0,1,0,"Not good, seems like imitation, very slow loading, waste of money",,,,
113,left side lang ba talaga ang may hanginnone sense kasi yung designmaganda na sana,1,0,0,0,"Design issue, only left side has air flow",,,,
114,maganda sana pero sira yung isang pair can i have a refund or change item,1,0,0,0,"Damaged item, asking for refund or change",,,,
115,ok naman yung item maganda naman kaso ang tagal ng process ng deliver at wala din reaponse si seller sa chat kaya na nainis ako nung naka raan tapos na bday at bingay saka dumating,0,1,0,1,"Delivery took a long time, seller unresponsive to chat",,,,
116,di ko nagustuhan yung smell niya masyadong sweet at nasusuka talaga ako sa amoy tapos nung tinry ko na nga nagpink agad yung lips ko pero nung dinilapan ko yung labi ko bigla sumaket ulo ko kaya masyado akon naweirdan yung amoy talaga yung ayaw ko,1,0,0,0,Dislikes smell. Weird side effects (product issues),,,,
117,bit disappointed yung dalawang socks iba yung dumating i ordered light pink  yung mintgreen pero the seller gived me both darkpink,0,1,0,0,"Wrong item delivered, wrong colors. (delivery issue)",,,,
118,ok na sana kaso my lace ung blak at hindi ung panty na gusto ko malayo rin ung pink ss gray na inorder ko,0,1,0,0,"Wrong design, not as ordered (delivery issue)",,,,
119,the item is not working they send to me defective unit  i said that they must replace because its not opening then asking me to rate 5 star before they will do some action wat da heck malas mo pag napunta sayo defective unit hindi ka nila asikasuhin kc,1,0,0,1,"Not working, defective. Seller asked for 5-star rating before action (product, service)",,,,
120,unresponsive seller may defect ung item mahina ung ilaw ng lcd display hindi man lang nagrereply ung seller puro auto generated measage wag na kayo mag order dito,1,0,0,1,"Unresponsive, defective item, weak LCD display",,,,
121,ok nmn ung product di lang nag sabi c seller na wala ung isang color ung cherry un pa nmn tlga ung pinaka order dun tpos di man lng iniba ung kulay dinoble pa haixt,0,1,0,1,Seller did not inform availability issues (delivery & service),,,,
122,red yung order na kulay bat pink dumating hate pink,0,1,0,0,Wrong color delivered,,,,
123,mali yung size na binigay ni seller ngayon hindi na ma return or ma refound bali wala nalang tong item kasi di magagamit din,1,0,0,1,Wrong size given by seller. No return or refund,,,,
124,ngayon lang po ako nakaencounter na kulang ang items ko malaki man o maliit ang halaga ng items  be responsible for the trust of your customers godbless us,0,1,0,0,Incomplete items in order,,,,
125,i am so disappointed i expected na scratch lang yung makikita ko sa ringlight kaso hindi nung narecieved ko may mga cracks sana manlang may fragile tape na nakalagay sa parcel para naman hndi nabasag yung ringlight gumagana naman pero syempre iba parin yung walang sira marerecieved yung item,1,1,0,0,Cracks when received. Wish for fragile tape,,,,
126,correct color medio maliit sakin,1,0,0,0,Smaller size,,,,
127,kulang kulang yung items na deneliver saken,0,1,0,0,Incomplete items delivered,,,,
128,dont buy to this seller di marunong mag response sa concern ng cx order nmn 2 item narecieve nmn item lang taz nakalagay sa reciept 2quantity daw mambubudol tong seller n2 wag na kau umorder dto baka mabudol dn kau nagbayad kmi ng sakto tapos bubudulin nyo,0,0,0,1,"Unresponsive, received only 1 of 2 items paid",,,,
129,medyo mahina yung hangin kahit nka full charge isa sa 6 na binili ko sira told the seller about this and asked for a refund but seller is unresponsive so im posting this in my review,1,0,0,1,"Weak airflow even full charge, one out of 6 defective, seller unresponsive",,,,
130,nakupag deliver skin tinesting qnong nalowbathindi na mchargeang galinghahahawla man lang ilawpra mlaman kung ngcharge b cia o hindi,1,1,0,0,Unable to charge upon delivery. No light to indicate charging,,,,
131,wla naman sa product nyo yung ganitong design white ung order pero not floral wla naman kayo floral na design sa picture eh disgusting,1,0,0,0,Design not as pictured,,,,
132,not good as in not good dumating sakin ng low battery so chinarge ko wala pang 30mins low battery na ulit grabe panget ng quality ng fan na to wag kayo magpaloko sa ibang reviews apat na fan ang inorder ko lahat palpak yung seller di pa nagrereply,1,0,0,1,"Low battery upon delivery, charges quickly but doesn't last, seller not replying",,,,
133,not working sayang pera,1,0,1,0,"Not working, waste of money",,,,
134,wrong item 2l black ung order ko pero 1l blue yung dumating before you pack the items make sure you checked the orders,0,1,0,0,"Wrong item delivered. 2L black ordered, 1L blue received",,,,
135,hindi sya umabot ng 5 meters lods 5 meters yung nasa description ng shop maganda nman yung product ang tagal nga lang ma shipped out,1,1,0,0,"Not 5 meters, good product, slow ship out",,,,
136,mabilis masira hindi na siya gumagana once ko palang siyang ginamit sira hindi matibay yung power botton niya,1,0,0,0,"Easy to break, not working, button not durable",,,,
137,poor quality may butas sa loob kapag inapakan tumutunog na parang tsinelas ng bata,1,0,0,0,"Poor quality. Hole inside, sounds like a child's slipper when stepped on",,,,
138,ang panget na nung mga bago nyong bag walang bulsa sa gilid lagayan ng tumbler  tpos yung loob wala man lang compartment pansin ko pa may kalakihan tong bag hindi kagaya nung mga una nyong mga basic na bag,1,0,0,0,"Design issue: No pockets on the side, no compartments inside, bigger than previous bags",,,,
139,i ordered it with the wallpaper kaso wall paper lang dumatingg i still recommend the wallpaperrr super sulit,0,1,0,0,"Only wallpaper arrived. Recommends wallpaper, super worth it",,,,
140,matagal yung shipping maganda ung packaging isuggest na tingnan nyu ung loob ng lipstick kasi ang kunti lng na laman kunin yu yung parang tube tas tingnan d worth bilhin kasi ang konti ng laman ang ganda lng ng packaging but i will try na bilhin ung ibng brand dto,1,1,1,0,"Slow shipping. Good packaging. Not worth the price since it is little content, good packaging",,,,
141,i am not satisfied black ung inorder ko pero blue ung dumating sana pati silicone ginawa niu napong blue para pareho sila diba or atleast nag reach out manlang po sana kayo na mag cchange color nakakadismaya ang tagal nag antay magkaiba pa kulay disappointed customer here,0,1,0,1,Not satisfied black color was ordered but blue delivered,,,,
142,maluwag na po yung mga garterparang mga nagamit or nasuot na podapat po nacheck po mabutikung hndi man po nagamitmukang mga binanat eh,1,0,0,0,"Loose garters, looks used, should have been checked carefully",,,,
143,bulok  1st time ko maka encounter dito sa shopee ng ganitong service wag na kayo magtiwala sa seller na itoun 3pcs order ko pero dumating 2 lang natagalan pa bago nakarating saken ang item hindi na maayos ang box at hindi man lang ayusin ang pag pack anu tinatamad,0,1,0,1,"Inexperienced service. 3pcs ordered but 2 only, it was too late",,,,
144,maganda kaso mabilis maputol not reccomendable,1,0,0,0,Good but easy to broke and not recomendable,,,,
145,madali masira and makati kahit ilang laba na gawin seller is not responsive madali mabutas ung brief i used it as cycling sa bahay and di siya fitted sakin sakto lang kaya di ko ma sstretch ung tahi kaso ayun may butas agad kakauspt palang,1,0,0,1,Damaged so fast. Seller is unresponsive,,,,
146,inpods pp nakuha ko kaso not working po,1,0,0,0,Not working,,,,
147,deffective sayang nman kahit mura lang sya di mu alam kung lowbatt kasi yung ilaw nyan nsa loob lng di umiilaw sa labas at di murin alam kung full charge na di ku nlng isosoli sa murang halaga,1,0,1,0,Deffective even though is not expensive,,,,
