Review #,Review,product,delivery,price,service,explanation,,,,,
63,subrang maganda po ang laki nya siguro until 3 years old ni baby pd gamitin higaan at may isng unan sya n ksama medyo manipis lang pero ok nmn no damage at mganda packaging ni seller thank you kahit medyo mabigat s bulsa ang price,1,0,1,0,,,,,,
64,well wala ako masabi bagay na bagay siya sa kwarto ko haha ang bilis din ng delivery so i give 5stars,0,1,0,0,,,,,,
65,good i dont know the name of the fabric used but its the one that is light and mejo mainit sa loob serves its purpose lil bro used it for their mass demo my lil bro is 49 a little chubby at 50kgs and it fits him alright,1,0,0,0,,,,,,
66,item received tama po ang kulay na order ko at sakto dn ang m size sa akin im 27inches in waist thank you seller satisfied costumer here bili na po kayo sa shop na to,1,0,0,0,,,,,,
67,thank u maganda lahat ng nakuha love thank u maganda lahat ng nakuha love thank u maganda lahat ng nakuha love,1,0,0,0,,,,,,
68,satisfied po ako sa wallpaper mura na maganda pa thank you shopee 3x po ako umorder napaka ganda nya,1,0,1,0,,,,,,
69,sakto lang sa price niya dont expect to much medyo matigas suot sa una iyon lang paglambot ntutuklap,1,0,1,0,,,,,,
70,maganda sya maganda sa labi thankyou seller,1,0,0,1,,,,,,
71,good maganda yung kulay at mukha namang matibay,1,0,0,0,,,,,,
72,manipis di ko masyado nakita for my kasambahay kasi ok ang quality ng brassiere and comfortable naman isuot according to her will buy again daw po thanks seller,1,0,0,0,,,,,,
73,love the color sakto pinadala,0,0,0,0,,,,,,
74,thank youuuu po complete orders and mabilis re wala ring sira ang ganda will order again next timeee heheee mabait si seller,0,1,0,1,,,,,,
75,hm mabango pero ok lng namn so ganda will order again,1,0,0,0,,,,,,
76,maganda pero hnd q pa ntry at ang bilis lng dumating ang bait din kuya rider,1,1,0,1,,,,,,
77,im very satisfied by the order ive received at first parang may doubt ako na baka hindi tama ang ipapadala but i was wrong all are in the right color and right size highly recommended shop nag rereply din si seller kudos lala,0,0,0,1,,,,,,
78,black is real  ganda po nya  at no deffect po  tenk u so much po  nka2tuwa nmn mga items nyo  fit lhat s anak q  sana mayron din kasya s akin  hehehe  keep it up po  mauulit p po,1,0,0,0,,,,,,
79,very satisfied di kupa sya natatry gamitin,0,0,0,0,,,,,,
80,easy to carry bubble wrap very nice yung sound malakas minsan may delay siguro sa bluetooth connection nag loloko yung pag close ng case solid na solid may magnet din para sa earbuds pero ang downside ng touch feature pag dumikit sa mga tela o balat napipindot minsan na pause,1,0,0,0,,,,,,
81,awesome ok sya fast charging talaga well depende sa adaptor nyo haha pero akin true fast charging sya kasi 7 pin not unlike sa iba na 2 wire yung lang po overall maganda sya at mura lang pagka kuha ko,1,0,1,0,,,,,,
82,maganda naman yung nails medyo malaki padin yung pinakamaliit na nails sa akin advisable tlg na bumili nadin nung silicon glue ba un,1,0,0,0,,,,,,
83,maganda naman sya kaya lang mabilis malowbat i think 5 hours lang tumagal nung una gamit ko tapos fast namn mag charge kaya siguro ganun,1,0,0,0,,,,,,
84,great quality free ko lang nakuha to sobrang ganda ng sound then pwede mo din hinaan yung volume and lakasan safe din nakarating sa akin yung earbuds,1,0,0,0,,,,,,
85,this one is very classy tignan and comfortable din but unfortunately hindi bagay sa sa malapad yung paa di matago haha same issue lumuluwang yung strap,1,0,0,0,,,,,,
86,fast charging ill order po ulit sulit mabilis pa mag charge tahmkyousomuch poo,0,0,0,0,,,,,,
87,thanks po sa maagang padala kht malau lugar nyu maayus na nakadating sakin atims happy costumer po,0,1,0,1,,,,,,
88,good yung isa kahit medyo maliit uk pa rin po kasi sakto naman ang mga order ko salamat sa seller at shoppeemore power po kayo,1,0,0,1,,,,,,
89,hindi pa nasusubukan hopefully matibay at effective na makafilter ng dust smoke and etc trusted brand ko ang kaisa villa thats why napabili ako first ko nabili sa store na ito is humidifier luckily 1 year na sya and still working sana same din nitong air purifier,1,0,0,0,,,,,,
90,maganda ang quality same sa pictures fast delivery pa thank you so much maganda ang quality same sa pictures fast delivery pa thank you so much,1,1,0,0,,,,,,
91,items are in good condition may is ang pants lang po na mali ang color pero okay naman,1,0,0,0,,,,,,
92,maganda yung tela and yung color ng pants hindi rin siya sobrang manipis nor makapal hindi rin siya seethrough which i am really thankful for i would totally recommend this,1,0,0,0,,,,,,
93,perfect napakaganda napakamura san kapa dito kana depwera biro maganda yung item katawan ko lng hindi at napakamura till next transaction po thank you so much,1,0,1,0,,,,,,
94,first time ko gumamit ng fake nails at nagustuhan ko talaga medyo malalaki yung size ng mga nails pero keri naman madikit din yung glue nadikitan nga pati yung daliri ko,1,0,0,0,,,,,,
95,bili na kayo walang scam o wow mali dito sa shop nato although ang tagal ng shipping 10 days kasi mindanao pa ang amin but still worth it ang waiting mo dito sis thank you sa nagdeliver ng earbuds talagang ingat kahit ginabi na sa pagdeliver,0,1,0,1,,,,,,
96,conplete parts maganda sya malaki at mukhang matibay naman sana tumagal gift ko sa bunso ko,1,0,0,0,,,,,,
97,i havent tried them yet pero thank you so much seller late na yung review pero di ko pa alam pano pag lagay ng fake nails hahahahaha thank you so much right variation and fast shipping 33,0,1,0,1,,,,,,
98,thaaank you so much i reaaally really love this im so satisfied thank u so much i reallly like it it working also at phone,1,0,0,0,,,,,,
99,sobrang gandaaaaaaaaaaait took 23 days before dumating naglagay rin kami sa kwarto pretty cool but worth the wait nman lahat ng light gumagana maybe will order again soon thanks,1,1,0,0,,,,,,
100,good na receive ko na kya lng late un pg rate ok naman pa rin naman un quality nya kagaya ng mga una kong na order sa shop nato thank you seller thank you shopee at sa rider,1,1,0,1,,,,,,
101,ang ganda dalawa inorder ko and pang gift ko nalang isa uso pa naman sipon sa mga baby ang helpful neto para samin kase good quality yung item,1,0,0,0,Mentions quality, which falls under product.,,,,
102,di ko akalain na ganyan sya kapula oks naman kaso dry pa rin labi ko pwede syang gawing liptint ganern all goods naman yung product nung dumating nakabubblewrap at walang mga damagestysm,1,0,0,0,Mentions the product arriving in good condition with bubble wrap, hinting at product and delivery.,,,,
103,amazing salamat po seller sa at shopee sa rider din po salamat magandang product sa uulitin salamat po,1,0,0,1,"Mentions ""magandang product"" (good product) and thanks seller and rider", implying product and service,,,,
104,as in karereceived ko lang after ng plastic eto na agad box na parang tinapaktapakan ng elepante buti na lang buo ang item 5star sana kung maayos ang packaging thank you pa din kay seller dahil buo ang order ko at pwede pa din magtry ulit sa susunod baka maayos,0,1,0,1,Packaging issue, delivery. Expresses gratitude to the seller, implying service.,,,
105,maganda po ang quality ng boots i can recommend this boots,1,0,0,0,Quality is directly related to product.,,,,,
106,ang ganda ng mga iteeeeeemssss worth it lahat ng binayad thankyouuuuu so much poo sa uulitin highly recommended nga lods,1,0,1,0,Ganda implies product," ""worth it"" implies price.",,,,
107,satisfied buyer saktong sakto sa kanya yung shoes happy ako pati rin yung baby ko salamat shoppee,1,0,0,0,Saktong sakto implies fit, which falls under product.,,,,
108,mali mali ang naideliver saakin dipa ako nakapa ultrasound kaya pinili ko unisex na muna na mga socks pero puro pang babae ang dumating nagchat din ako na sana gawing unisex wala pading reply maganda naman ang mga medyas makakapal sana next time wag na mangyarii,1,1,0,1,Naideliver saakin implies delivery," ""maganda naman ang mga medyas"" implies product"," and ""wala pading reply"" indicates service.",,,
109,amoy alak hahahahaha trusted setting spray ive used this before and my make up stays i have oily skin but this ones promising if gusto niyo sobrang tagal use it after foundation blush and highlighter pak stay put af queens,1,0,0,0,"Amoy alak and ""my make up stays"" refer to the product's characteristics.",,,,,
110,effective matagal siya mawala sa sobrang kapit sa pilik mata ano ilalagay ko para sa coins sis 1234567890 queen lol five six,1,0,0,0,Effective refers to the product's performance.,,,,,
111,super ganda then tama ung size and color sa uuliten po,1,0,0,0,"Ganda and ""tama ung size and color"" refer to the product's characteristics.",,,,,
112,complete ordersvery good sa part na may sariling checklist si sellerall are in on excellent qualitythank you seller,1,0,0,1,"Excellent quality refers to the product. ""Checklist ni seller"" and ""thank you seller"" refer to service.",,,,,
113,napakaganda ng telaaaa  2010 this is my 2nd time na nagorder dito and it never disappoints me sa uulitin po seller,1,0,0,0,Tela implies the product aspect.,,,,,
114,happy naman ako sa purchase ko maganda ang quality and designs are nice as well and grabe next day delivered na agad deserve nila ang 5 star,1,1,0,0,Quality and designs relate to the product," and ""next day delivered"" relates to the delivery.",,,,
115,thank you seller sulit na sulit ang bayad will order again and again merry christmas and happy new year  more sale and godbless,0,0,1,1,Sulit ang bayad relates to the price," and ""thank you seller"" relates to service.",,,,
116,hindi ko lang na picture pero okay naman ung fitting maganda sya actually kasi plus size ako and maganda sya jogger na pa slim fit ung naging datingan sakin so okay na okay,1,0,0,0,Fitting relates to the product.,,,,,
117,good ok nmn sana yung item mganda kaya lang nakaka asar yung hindi nsusunod yung gus2ng color ng customerpwede nmn ilagay na not available para naka pili ng ibawag lang pinklalake kasi ggmit ehayan ayaw tuloy gamitin,0,0,0,1,Hindi nsusunod yung gus2ng color ng customer relates to service, specifically order fulfillment.,,,,
118,good ganda nagana lahat di sya madikit sa kamay kapag nasulat ka good quality bili ulit ako,1,0,0,0,"Ganda and ""good quality"" relate to the product.",,,,,
119,okay dumating in good condition hindi naka bubble wrap pero walang damage maganda ang fitting sakin,1,1,0,0,Dumating in good condition relates to the delivery," and ""maganda ang fitting"" relates to product.",,,,
120,super ganda lahat ng items will buy again,1,0,0,0,Ganda refers to product.,,,,,
121,maganda naman xa easy to connect also sana ndi madali ma loabat,1,0,0,0,Madali ma loabat refers to product performance.,,,,,
122,malagkit yung mascara salamat seller and kay kuyang nagdeliver maganda naman po yung productlove it,1,0,0,1,Maganda naman po yung product indicates product," and ""salamat seller and kay kuyang nagdeliver"" indicate service.",,,,
123,thank you shoppe seller maganda po mukhang matibay gosto kopo dahil walang bakal,1,0,0,1,"Maganda and ""matibay"" relate to product"," and ""thank you shoppe seller"" relates to service.",,,,
124,my 3rd time kong order sa shop very responsive si seller at ambait pa all products are good except 1 may mantsa ang isang bra anyways thank you oorder ulit ako sa ssnod,1,0,0,1,"Products are good and ""may mantsa"" refer to product"," and ""very responsive si seller at ambait pa"" and ""thank you"" refer to service.",,,,
125,ang ganda nya kala ko maliit lang nung dumating ang laki pala so satisfying matagal magagamit ni baby,1,0,0,0,"Ganda and ""laki"" relate to product size.",,,,,
126,excellent sana mas mahaba konti ang outside ng magic tape but otherwise i am a satisfied customer for this item matibay at mukhang tatagal sakto lang din ang size 23 for my daughter who is 1 yr  2 mos old,1,0,0,0,"Mahaba konti and ""matibay"" and ""size"" all refer to the product.",,,,,
127,medyo natagalan lang yung pagka deliver inorder ko to nung 22 tumambay pa kasi yung parcel sa soc 3 pero ayus lang naman thank u po seller ayos pagkakapack kc nka bubble wrap pa tlg,0,1,0,1,Natagalan lang yung pagka deliver refers to delivery," and ""thank u po seller"" and ""ayos pagkakapack"" refer to service.",,,,
128,maganda sya as innakakatawa lang kasi halatang kinaskas or inukit yung size na nakalagay eh 37 eh 36 ang order ko,1,0,0,0,Comment about size refers to product.,,,,,
129,ang gnda ng pants  malambot ang tela at comportable xa isuot magugustuhan xa ng hubby ko since mhilig xa sa jogging pants i will order again sana gnun p din quality at tama ang size oag dumating slmat din kuyang ng deliver,1,0,0,1,"Malambot ang tela and ""tama ang size"" refer to the product's characteristics. ""Slmat din kuyang ng deliver"" refers to service.",,,,,
130,okay naman no damage so far buti nalang thanks seller sulit sa bayad nasa nagsusuot kung magiging classy tignan o hindi dapat kaya mo dalhin,1,1,1,1,No damage refers to delivery," ""thanks seller"" refers to service"," and ""sulit sa bayad"" refers to price. The overall appearance when worn relates to the product itself.",,,
131,first time ko mag order dito suliiittt naman nag send si seller ng pictures bago ishipthankkkkkkll youuuuuuuuuuuuu selllllleeeeeeeerrrrrrrrrrrrrrrrrrrrrrrr,0,0,1,1,Suliiittt naman could refer to price," and ""nag send si seller ng pictures bago ishipthankkkkkkll youuuuuuuuuuuuu selllllleeeeeeeerrrrrrrrrrrrrrrrrrrrrrrr"" definitely refers to service.",,,,
132,nice super nice nmn nangnarecieved ko i expected more but okay naman tohope next time cp cutiee,1,0,0,0,"The ""okey naman"" is referring to the product.",,,,,
133,ayos dito ang ganda nya talaga di ako nagkamali ordering para sa anak ko bunsothank u seller and riders,1,0,0,1,"Ganda nya and ""di ako nagkamali ordering para sa anak ko bunso"" is referencing the product aspect. The ""thank u seller and riders"" references delivery and service.",,,,,
134,super nicee ng vacuum flask and accomodating si seller kaso nakakalungkot lang kasi ibang variant yung ibinigay sa akin color red eh pink gusto ko  kaya chat nyo agad si seller for 2nd option ng variant na gusto nyo if ever lang naubusan ng stocks,1,0,0,1,Super nicee ng vacuum flask refers to the product," ""accomodating si seller"" indicates service"," and ""ibang variant"" suggests an issue with the product fulfillment.",,,
135,omg thank you seller secure at safe siya dumating skin at may seal talaga ultimo mascara i love it super,1,1,0,1,Secure at safe siya dumating skin at may seal talaga indicates delivery quality," ""i love it super"" suggest good product"," and ""thank you seller"" pertains to service.",,,
136,maganda sya opo maganda syapero medyo masikip saken dpt pala sinize 40 kona,1,0,0,0,Maganda sya refers to the product," and ""masikip saken"" implies a sizing issue.",,,,
137,all goods naman pero nagmomoist sya pag may yelo ang tubig sa loob,1,0,0,0,Nag momoist sya refers to the product's performance.,,,,,
138,very nice ng ringlight working po sya lahat ng settings 3 modes tas 10 brightness very affofdable pa thank you so much seller  video not related,1,0,1,1,Very nice ng ringlight working po sya lahat ng settings 3 modes tas 10 brightness refers to product quality," ""very affofdable pa"" refers to price"," and ""thank you so much seller"" refers to service.",,,
139,good quality  ang ganda ng quality nya sulit talaga salamat ito nalang na picturan ko kc sinuot kuna yong iba bilin na kayo,1,0,1,0,Good quality ang ganda ng quality nya sulit talaga implies product and price.,,,,,
140,worth it yung pagorder ko online hindi nakakapagod mag ikot sa mall basta tama yung ibibigay na description ng shop ganda ng quality ng shoes komportable si baby,1,0,0,0,Ganda ng quality ng shoes komportable si baby focuses on the product's quality and comfort.,,,,,
141,highly recommend sakto lang sya sa paa ko maganda din quality kahit mura matagal nga lang dumating mga 9 days thankyou so much po,1,1,1,0,Sakto lang sya sa paa ko maganda din quality relates to the product," ""kahit mura"" pertains to price"," and ""matagal nga lang dumating mga 9 days"" indicates delivery.",,,
142,super comfy what you see is what you get ang ganda,1,0,0,0,"Comfy and ""ganda"" relate to the product.",,,,,
143,di ko pa po nabubuksn pero irerate ko na sya mukhang ok naman base sa pagkakapack nya naka bubble wrap naman hope na talagang ayos sya namahalan lang ako sa shipping fee hehe,0,1,1,0,Namahalan lang ako sa shipping fee hehe indicates cost," and ""naka bubble wrap naman"" suggests delivery and quality.",,,,
144,received ko na maganda din take price affordable isa nga lang binili ko kasi pag 2 na or madami ang laki din ng sf nakakaloka pero sige keri lang salamat padin hehe nagandagan ako sa makeup kit,1,1,1,0,maganda din take relates to the product," ""price affordable"" indicates price"," and ""laki din ng sf nakakaloka"" relates to delivery cost.",,,
145,bilis delivery ilang araw ko lang inorder dumating agad 5star sayo seller and manong delivery  recommended ko to  good job,0,1,0,1,Bilis delivery indicates delivery," and ""5star sayo seller and manong delivery"" indicates service.",,,,
146,order received in good condition well packed and super bango talaga pangalawang order kona ito will order again soon thankyou somuch seller and kuya rider,1,1,0,1,In good condition well packed relates to delivery," ""super bango talaga"" relates to product"," and ""thankyou somuch seller and kuya rider"" relates to service.",,,
147,im size 37 and i think it is better to add 1 to your size preference binigay ko nalang sa mama ko yun items yun iba kasya yun iba di tlaga overall i like it plastic nga lang pala pero i think its good,1,0,0,0,"Size 37 and i think it is better to add 1 to your size preference and ""kasya yun iba di tlaga"" pertain to product sizing.",,,,,
148,good the items were wellpackedsecired yung mga items but may 2 items na kulangthe seller responded nman and immediately it was settled the seller gave me a refund to the items na hindi napadalathanks to the seller for the quick response,0,1,0,1,Wellpacked relates to delivery," ""may 2 items na kulang"" pertains to product"," and ""the seller responded nman and immediately it was settled the seller gave me a refund to the items na hindi napadalathanks to the seller for the quick response"" relates to service.",,,
149,i received complete items all are in good condition ubos agad nd mga buyers ko e next time po ulit thank youuuuuuuuu,1,1,0,1,Complete items all are in good condition focuses on product and delivery," and ""thank youuuuuuuuu"" refers to service.",,,,
150,ok nmn for its price kaso ung size n large parang medium lng,1,0,1,0,For its price clearly states price," and ""size n large parang medium lng"" indicates the product.",,,,
151,hindi natagal ung init wala pang 30 minutes malamig na  peru okey lang at least okey nman sia ng nakarating sakin and thenk u nagdeliver,1,1,0,1,Hindi natagal ung init wala pang 30 minutes malamig na refers to the product," and ""okey nman sia ng nakarating sakin"" and ""thenk u nagdeliver"" mention delivery and service.",,,,
152,thank you po sakto lang sa paa ng baby girl ko,1,0,0,1,Sakto lang sa paa ng baby girl ko refers to product," and ""thank you po"" indicates service.",,,,
153,at nagpabudol na nga po kami so far so good i tried and may nakuha talagang mga tiny particles mejo mabigat lang di ko expected hahaha all in all its okay looking forward for the next budols,1,0,0,0,"May nakuha talagang mga tiny particles and ""mejo mabigat lang"" pertains to the product.",,,,,
154,very useful ok gamitin compare sa dating sim na ginamit ko kahit saan pumunta laging may signalsuper tipid hindi nageexpire ang data kaya pwedeng tipirin sulit at highly recommended ang sim at shop na ito,1,0,1,0,Very useful ok gamitin compare sa dating sim na ginamit ko kahit saan pumunta laging may signalsuper tipid hindi nageexpire ang data kaya pwedeng tipirin pertains to product," and ""sulit"" refers to the price.",,,,
155,makapal thankyou seller over all maganda po sya worth it mabilis pa maship 2 years old si baby boy 15cm inside foot nya pero inorder ko 16cm kase mabilis lang lumaki paa tsaka sakto pag minedyasan pabudol na kayo,1,1,1,1,"Makapal thankyou seller over all maganda po sya worth it  pertains to the price and products. ""mabilis pa maship"" pertains to the delivery of the product.",,,,,
156,nakakatuwa first time kong mag order ng oang benta at hindi ako nabigo kasi tama lahat ng brand quantity and sizes kaya will surely buy again at sana ganon po ulit sa susunod  the quality is good for its price thank you seller and more sales to come satin,1,0,1,1,"Tama lahat ng brand quantity and sizes and ""the quality is good"" pertain to the product. ""For its price"" indicates price. ""Thank you seller"" refers to service.",,,,,
157,mura lang at maganda naman ang packaging at quality ng productmabilis din naiship ni seller at naidelivrrkaya i will recommend this shop and productthank you,1,1,1,1,Maganda naman ang packaging at quality ng product relates to the product," ""mura lang"" relates to the price"," and ""mabilis din naiship ni seller at naidelivrr"" pertains to delivery.",,,
158,fit to small bags super nice maliit lang sya super happy ng mother ko kasi kasya lang sa bag nya at hindi mabigat thank you po,1,0,0,0,Fit to small bags super nice maliit lang sya super happy ng mother ko kasi kasya lang sa bag nya at hindi mabigat pertains to the physical product.,,,,,
159,very good thank you seller ang ganada regalo q nang nanay q,1,0,0,1,Ganda mentions the product," ""Thank you seller"" mentions service.",,,,
160,ganda ng kulaysalamat seller at sa kuyang nagdeliver,1,0,0,1,Ganda ng kulay mentions product," ""salamat seller at sa kuyang nagdeliver"" mentions service.",,,,
161,ok n nmn po ung item pero maliit po ung size ny if order ky at 36 po size ny 40 po kunin ny,1,0,0,0,Maliit po ung size ny mentions product.,,,,,
162,dahil mura  mukang walang tibay  medyo manipis lang yung mismong tela then yung pinaka ribs nya manipis lang na parang plastic  thanks anyway po,1,0,1,0,Mura mentions price," and ""walang tibay"" and ""manipis lang yung mismong tela"" mention product.",,,,
163,okay naman siya natry ko na siya kahapon but i dont think it helps para maglasts yung makeup though goods naman yung pashining shimmering effect sa fez,1,0,0,0,Goods naman yung pashining shimmering effect sa fez mentions the product.,,,,,
164,over all maganda product na nabili ko sulit sa presyo,1,0,1,0,Sulit sa presyo mentions the product price. The rest indicates that the product is pleasing.,,,,,
